Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana
30.1,518.40,49.04,0.33,0.99,532.70,2.76,0.37,0.49,520.80,0.46,1098.00,46.19,0.37,0.99,1085.00,-1.18,0.32,0.50,1087.10,-0.99
30.2,500.80,32.43,0.14,0.98,502.10,0.26,0.31,0.49,498.20,-0.52,778.00,81.00,0.34,0.97,574.20,-26.20,0.34,0.48,570.40,-26.68
30.3,271.10,15.42,0.04,0.98,271.10,0.00,0.03,0.47,271.10,0.00,982.30,74.69,0.17,0.99,852.60,-13.20,0.23,0.48,852.60,-13.20
35.1,796.40,46.89,0.46,1.10,809.80,1.68,0.44,0.54,803.10,0.84,675.60,75.87,0.51,1.09,530.50,-21.48,0.40,0.53,522.80,-22.62
35.2,647.80,35.41,0.36,1.10,647.85,0.01,0.35,0.53,641.55,-0.96,840.50,67.15,0.28,1.08,823.75,-1.99,0.45,0.53,816.85,-2.81
35.3,295.20,24.66,0.09,1.07,298.90,1.25,0.28,0.53,297.00,0.61,1 436.20,73.21,0.35,1.10,1263.60,-12.02,0.33,0.53,1263.20,-12.05
40.1,901.40,49.57,0.54,1.18,910.30,0.99,0.43,0.61,897.00,-0.49,559.60,68.23,0.40,1.16,542.80,-3.00,0.49,0.61,539.40,-3.61
40.2,731.50,39.79,0.42,1.16,738.50,0.96,0.38,0.60,725.55,-0.81,952.10,67.15,0.48,1.15,926.60,-2.68,0.45,0.58,922.10,-3.15
40.3,312.60,27.00,0.26,1.15,317.10,1.44,0.43,0.60,313.70,0.35,1 660.80,73.99,0.34,1.19,1452.80,-12.52,0.40,0.60,1451.00,-12.63
45.1,1 106.20,43.89,0.49,1.34,1111.05,0.44,0.54,0.69,1103.60,-0.24,862.70,62.29,0.50,1.32,848.70,-1.62,0.51,0.67,837.30,-2.94
45.2,872.00,37.80,0.38,1.34,856.70,-1.75,0.49,0.68,847.20,-2.84,1 593.60,70.97,0.56,1.34,1360.30,-14.64,0.58,0.68,1348.40,-15.39
45.3,167.60,60.14,0.07,1.31,167.60,0.00,0.16,0.65,167.40,-0.12,2 068.80,65.06,1.09,1.36,2082.10,0.64,0.45,0.71,2086.80,0.87
50.1,1 344.20,44.83,0.44,1.41,1307.40,-2.74,0.54,0.73,1288.20,-4.17,1 291.80,64.22,0.66,1.43,1142.60,-11.55,0.59,0.74,1138.70,-11.85
50.2,325.00,54.15,0.42,1.39,328.70,1.14,0.53,0.72,324.80,-0.06,1 985.80,64.10,0.80,1.43,1968.20,-0.89,0.53,0.78,1948.70,-1.87
50.3,228.70,51.81,0.31,1.40,229.80,0.48,0.49,0.73,228.60,-0.04,2 341.70,62.04,1.10,1.44,2348.10,0.27,0.47,0.77,2350.55,0.38
100.1,2 478.20,54.26,1.52,3.23,2358.00,-4.85,1.50,1.84,2315.00,-6.59,3 282.60,67.76,1.59,3.22,2951.60,-10.08,1.37,1.78,2943.90,-10.32
100.2,621.20,60.91,1.04,3.21,550.30,-11.41,1.43,1.78,537.80,-13.43,4 134.70,64.21,2.73,3.21,4155.70,0.51,1.40,1.88,4038.25,-2.33
100.3,310.90,55.23,0.65,3.22,292.40,-5.95,1.17,1.71,287.40,-7.56,4 726.40,59.73,2.61,3.24,4786.30,1.27,1.13,1.90,4797.50,1.50
200.1,10580.00,95.47,4.92,7.08,1426.60,-86.52,3.76,4.49,1414.20,-86.63,6 520.40,60.45,4.50,7.10,6386.70,-2.05,3.75,4.71,6321.10,-3.06
200.2,10070.00,92.91,4.24,6.99,1693.00,-83.19,3.57,4.30,1670.00,-83.42,10508.00,88.38,4.95,7.02,4270.50,-59.36,3.85,4.49,4214.60,-59.89
200.3,1 053.50,55.15,1.93,7.15,935.75,-11.18,3.39,4.31,931.20,-11.61,9535.00,70.24,5.73,7.07,9351.90,-1.92,2.67,4.82,9307.30,-2.39
300.1,17582.00,99.81,7.25,11.31,5633.35,-67.96,6.43,8.04,5548.10,-68.44,17425.00,96.37,8.48,11.27,3215.90,-81.54,7.19,7.93,3204.00,-81.61
