,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans
30.1,0.024342,0.0725588,0.0392651,0.0109584,0.246082
30.2,0.0220897,0.224915,0.0593482,0.0367924,0.0356644
30.3,0.017472,0.17921,0.0747912,0.0426184,0.0180957
35.1,0.0198516,0.221153,0.0912011,0.0343871,0.11375
35.2,0.0218615,0.215159,0.0964596,0.0334945,0.0695192
35.3,0.0200158,0.149985,0.0428196,0.0395909,0.00740948
40.1,0.0287172,0.277577,0.109386,0.027989,0.100898
40.2,0.0222804,0.253399,0.097415,0.0306877,0.0539617
40.3,0.016106,0.137143,0.0629814,0.0381741,0.00483102
45.1,0.0263659,0.220092,0.0803233,0.0250348,0.0989716
45.2,0.0305808,0.269928,0.136261,0.0218136,0.0930013
45.3,0.0233558,0.0379481,0.0398361,0.00421865,0.237557
50.1,0.0288163,0.228463,0.119373,0.0235173,0.171406
50.2,0.0291788,0.0735228,0.0428279,0.0190125,0.227728
50.3,0.0237395,0.0357795,0.0392612,0.00215185,0.241991
100.1,0.0331046,0.18083,0.0811621,0.0275235,0.290494
100.2,0.0267186,0.0825592,0.0483448,0.0139413,0.344839
100.3,0.0232251,0.0345559,0.0397133,0.00222315,0.274065
200.1,0.0505079,0.264763,0.128544,0.016775,0.454212
200.2,0.0222176,0.378772,0.211954,0.028235,0.072267
200.3,0.0256467,0.0925728,0.0912759,0.00506742,0.377796
300.1,0.026853,0.403143,0.241162,0.0226577,0.119699
300.2,0.0323423,0.14173,0.0646822,0.0257475,0.28661
300.3,0.0179132,0.379555,0.188186,0.0388068,0.0135704
400.1,0.0317423,0.444964,0.248987,0.0223967,0.208618
400.2,0.0234904,0.415228,0.246827,0.0270221,0.0522307
400.3,0.0345587,0.117274,0.113526,0.00388247,0.41647
500.1,0.0294213,0.444062,0.280168,0.0209687,0.125999
500.2,0.0367912,0.194225,0.104409,0.0145447,0.479493
500.3,0.0334258,0.0866795,0.0847235,0.00318701,0.366971
600.1,0.029406,0.477925,0.284764,0.020987,0.177913
600.2,0.0287187,0.468352,0.29964,0.0236078,0.087309
600.3,0.0367031,0.0885881,0.089581,0.00248292,0.371729
700.1,0.0509687,0.335636,0.20704,0.0228175,0.428021
700.2,0.0295328,0.480812,0.305871,0.0221252,0.086593
700.3,0.018947,0.39431,0.238693,0.0362317,0.00931018
800.1,0.0754447,0.366242,0.218964,0.0189527,0.557478
800.2,0.0189439,0.451144,0.272197,0.0273888,0.0538259
800.3,0.0191419,0.400352,0.233449,0.0360078,0.00646041
900.1,0.0729308,0.377855,0.221129,0.0196816,0.56607
900.2,0.0253297,0.494433,0.340255,0.0249539,0.087101
900.3,0.0181494,0.38181,0.258686,0.0345788,0.00990823
1000.1,0.0261454,0.478978,0.314957,0.0219491,0.240456
1000.2,0.0321751,0.201636,0.119449,0.024826,0.306242
1000.3,0.0425424,0.102776,0.100714,0.00258268,0.366787
