,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans
30.1,0.0479471,0.173451,0.0649288,0.0241389,0.0938898
30.2,0.0484622,0.137804,0.0310754,0.0190582,0.0374938
30.3,0.0228847,0.0459766,0.0290197,0.020454,0.0019331
35.1,0.0530825,0.149708,0.0606659,0.014024,0.167535
35.2,0.0625968,0.160232,0.0574233,0.0177723,0.0718147
35.3,0.0594186,0.103767,0.0271673,0.01788,0.00345299
40.1,0.0502971,0.156638,0.0533458,0.016476,0.179495
40.2,0.0752918,0.166147,0.0610933,0.0139646,0.10256
40.3,0.0709876,0.137249,0.0324841,0.0192775,0.0064882
45.1,0.0473223,0.168479,0.0640379,0.0191741,0.17802
45.2,0.0722977,0.184303,0.0588973,0.0174185,0.0922099
45.3,0.0377844,0.126603,0.0112826,0.0276713,0.000698733
50.1,0.0485311,0.178918,0.0628152,0.025229,0.170832
50.2,0.0457337,0.270658,0.0939199,0.0272496,0.0369749
50.3,0.0545248,0.207479,0.0444299,0.0206244,0.00541661
100.1,0.0605637,0.235307,0.0840791,0.018364,0.220489
100.2,0.0567139,0.360761,0.145944,0.0210733,0.0430169
100.3,0.0416238,0.227892,0.0294518,0.0350487,0.00473087
200.1,0.0371777,0.386017,0.201646,0.0262423,0.0999776
200.2,0.0620549,0.344713,0.11338,0.0268277,0.0993773
200.3,0.0604538,0.306285,0.0786063,0.026874,0.0205104
300.1,0.0478029,0.306194,0.104355,0.0237077,0.253039
300.2,0.065025,0.403889,0.143012,0.0248235,0.0833365
300.3,0.0727921,0.339533,0.0984729,0.0260313,0.0262407
400.1,0.049281,0.392501,0.13463,0.0274118,0.185952
400.2,0.0493759,0.430108,0.207653,0.0218712,0.0602131
400.3,0.0619929,0.365395,0.110307,0.0265082,0.0264177
500.1,0.0327939,0.414071,0.167899,0.026011,0.169781
500.2,0.0612184,0.458231,0.184331,0.0218874,0.0934087
500.3,0.0487203,0.416632,0.1021,0.03014,0.00497371
600.1,0.0439355,0.368241,0.134173,0.0285289,0.227688
600.2,0.0461074,0.383156,0.167103,0.0266024,0.155967
600.3,0.0581134,0.454252,0.111762,0.0231178,0.00735165
700.1,0.0437789,0.35436,0.0998555,0.0247861,0.335001
700.2,0.0558606,0.405687,0.164175,0.0273861,0.13665
700.3,0.0603611,0.458119,0.107124,0.0246483,0.00736504
800.1,0.0398228,0.368076,0.128994,0.0284495,0.236555
800.2,0.0590709,0.408176,0.143447,0.0227601,0.184513
800.3,0.0521028,0.401028,0.133635,0.028574,0.0316834
900.1,0.0393045,0.424366,0.212609,0.028343,0.182218
900.2,0.0495104,0.3882,0.168946,0.0286455,0.112028
900.3,0.0522457,0.472574,0.104314,0.0241217,0.00725103
1000.1,0.0423263,0.412755,0.121395,0.0273249,0.235697
1000.2,0.0495682,0.413474,0.143333,0.0260315,0.17093
1000.3,0.0563307,0.475388,0.128976,0.0246342,0.0111435
