,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans
30.1,0.0691625,0.20875,0.0547186,0.0261253,0.021901
30.2,0.0494479,0.130543,0.0354894,0.022105,0.0275549
30.3,0.0190068,0.0604419,0.0246531,0.0164482,0.0019852
35.1,0.0467858,0.232789,0.0576039,0.0242909,0.0254699
35.2,0.0626679,0.172985,0.0676953,0.0132952,0.0931887
35.3,0.0148839,0.0617824,0.00216983,0.0323457,1.34789E-05
40.1,0.0444818,0.208413,0.0800695,0.0243656,0.0740499
40.2,0.0739513,0.170686,0.0593327,0.0121839,0.123229
40.3,0.0196076,0.0670216,0.00176761,0.0370426,0.000226878
45.1,0.0412697,0.156615,0.0528722,0.0205104,0.18202
45.2,0.0430023,0.1925,0.0227917,0.0343306,0.000915798
45.3,0.0316052,0.0952116,0.0148275,0.0271799,9.40612E-05
50.1,0.0424763,0.197214,0.0697296,0.022446,0.178045
50.2,0.0482775,0.247884,0.050773,0.0372601,0.00189429
50.3,0.060781,0.201367,0.0362488,0.0207911,0.00695031
100.1,0.0507554,0.336888,0.103541,0.0234905,0.0701834
100.2,0.0677351,0.276302,0.0914798,0.01698,0.119599
100.3,0.0383291,0.183667,0.00616158,0.0479779,0.000833679
200.1,0.0504849,0.376604,0.113995,0.0290808,0.013979
200.2,0.057374,0.34696,0.141216,0.0239394,0.105202
200.3,0.0381033,0.275394,0.0245219,0.0419538,0.000473781
300.1,0.0434319,0.372826,0.055001,0.0371556,0.00133933
300.2,0.052432,0.419211,0.138137,0.0256908,0.0386909
300.3,0.0365806,0.352653,0.029303,0.0403716,0.000497166
400.1,0.0452986,0.382204,0.13334,0.0244048,0.235649
400.2,0.0477726,0.333295,0.0310594,0.0417707,0.000716773
400.3,0.0285941,0.329694,0.0123885,0.0438163,5.75547E-05
500.1,0.038989,0.355823,0.0497438,0.0368446,0.0013194
500.2,0.0524104,0.425955,0.0782553,0.0332297,0.00425563
500.3,0.0634536,0.39591,0.123822,0.0279318,0.0166838
600.1,0.0475389,0.430821,0.115258,0.0299416,0.00657136
600.2,0.045211,0.389632,0.0226261,0.0383701,0.000546363
600.3,0.0264165,0.358955,0.00894554,0.0425043,4.45069E-05
700.1,0.0447663,0.438601,0.11232,0.0290869,0.00693968
700.2,0.0536848,0.449403,0.155503,0.0228684,0.144611
700.3,0.0266297,0.363446,0.00942378,0.0440977,6.1949E-05
800.1,0.0459369,0.40926,0.169353,0.0279627,0.234597
800.2,0.0441543,0.396335,0.0287259,0.0359454,0.000377089
800.3,0.0311406,0.363122,0.0115508,0.0450353,0.000167579
900.1,0.0469862,0.477546,0.193018,0.0272379,0.0601222
900.2,0.0458787,0.382675,0.0273902,0.0402189,0.000287535
900.3,0.0547352,0.451655,0.139772,0.0248631,0.0184785
1000.1,0.0492706,0.43099,0.10879,0.0330054,0.00418513
1000.2,0.0376784,0.417697,0.0298133,0.0378144,0.000405885
1000.3,0.0490651,0.452498,0.141581,0.0251689,0.0190593
