Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana
30.1,737.50,89.69,0.20,0.98,722.50,-2.03,0.31,0.49,716.00,-2.92,884.50,74.13,0.46,0.98,877.92,-0.74,0.39,0.49,869.92,-1.65
30.2,646.17,88.08,0.24,0.96,650.75,0.71,0.33,0.49,646.83,0.10,714.50,71.20,0.39,0.97,702.50,-1.68,0.32,0.47,701.13,-1.87
30.3,302.25,88.59,0.01,0.97,298.75,-1.16,0.00,0.47,298.75,-1.16,241.00,90.25,0.20,0.96,243.00,0.83,0.20,0.47,240.50,-0.21
35.1,970.50,87.00,0.51,1.08,961.76,-0.90,0.42,0.53,945.59,-2.57,1 008.67,84.80,0.27,1.08,1002.09,-0.65,0.40,0.52,986.76,-2.17
35.2,731.75,86.61,0.15,1.07,737.50,0.79,0.37,0.51,728.00,-0.51,716.00,86.07,0.38,1.07,719.38,0.47,0.34,0.52,696.88,-2.67
35.3,322.00,95.34,0.20,1.07,317.25,-1.48,0.12,0.52,316.00,-1.86,322.00,87.42,0.03,1.09,324.50,0.78,0.16,0.52,323.50,0.47
40.1,1 098.17,94.49,0.01,1.18,1054.50,-3.98,0.01,0.59,1054.50,-3.98,1154.00,94.76,0.36,1.17,1098.75,-4.79,0.45,0.59,1093.12,-5.28
40.2,859.25,94.33,0.36,1.14,847.00,-1.43,0.34,0.58,835.13,-2.81,867.00,93.83,0.48,1.12,852.25,-1.70,0.42,0.58,844.75,-2.57
40.3,323.00,96.44,0.12,1.15,313.00,-3.10,0.29,0.58,309.50,-4.18,349.83,85.95,0.05,1.15,350.17,0.10,0.22,0.58,349.83,-0.00
45.1,1 271.50,96.56,0.40,1.32,1169.75,-8.00,0.51,0.67,1148.75,-9.65,1 545.75,97.67,0.55,1.33,1336.00,-13.57,0.54,0.68,1328.75,-14.04
45.2,923.50,97.02,0.33,1.30,900.50,-2.49,0.34,0.66,896.00,-2.98,925.00,85.57,0.34,1.30,910.00,-1.62,0.47,0.65,897.75,-2.95
45.3,396.33,94.58,0.25,1.31,391.17,-1.30,0.24,0.65,390.50,-1.47,400.00,92.79,0.05,1.30,400.50,0.12,0.16,0.65,400.33,0.08
50.1,1271.00,97.99,0.45,1.41,1188.75,-6.47,0.56,0.74,1176.00,-7.47,1357.00,98.49,0.48,1.41,1267.75,-6.58,0.61,0.73,1250.25,-7.87
50.2,1 021.34,95.69,0.02,1.40,1006.17,-1.49,0.01,0.73,1006.17,-1.49,1 087.17,88.89,0.24,1.39,1043.67,-4.00,0.53,0.72,1034.42,-4.85
50.3,442.75,97.06,0.19,1.40,440.38,-0.54,0.55,0.71,437.25,-1.24,449.25,97.50,0.11,1.39,441.50,-1.73,0.38,0.72,439.50,-2.17
100.1,3 426.50,99.45,1.29,3.21,2015.00,-41.19,1.32,1.75,2000.00,-41.63,4 400.84,99.72,2.00,3.19,2692.01,-38.83,1.59,1.73,2654.76,-39.68
100.2,2489.00,99.75,0.05,3.20,1761.17,-29.24,0.05,1.65,1761.17,-29.24,3 744.25,99.85,0.83,3.23,1848.75,-50.62,1.49,1.73,1838.75,-50.89
100.3,818.50,99.39,0.32,3.21,715.25,-12.61,1.10,1.68,713.13,-12.87,931.50,99.03,0.49,3.22,732.50,-21.36,0.98,1.68,730.00,-21.63
200.1,7 064.68,99.96,0.19,7.13,4273.84,-39.50,0.18,4.25,4273.84,-39.50,8 614.02,100.00,5.50,7.02,4840.26,-43.81,3.91,4.29,4796.43,-44.32
200.2,4338.00,100.00,2.28,7.08,2837.50,-34.59,3.24,4.31,2831.25,-34.73,4538.00,100.00,3.91,6.99,3332.38,-26.57,4.07,4.32,3315.75,-26.93
200.3,1544.00,100.00,2.37,7.06,1208.62,-21.72,3.24,4.34,1204.75,-21.97,1 935.84,99.97,1.20,7.12,1270.51,-34.37,3.43,4.33,1267.09,-34.55
300.1,11740.00,100.00,4.71,11.38,4793.50,-59.17,6.82,7.89,4776.25,-59.32,13067.00,100.00,7.55,11.14,6062.50,-53.60,6.75,7.85,6068.00,-53.56
300.2,11934.00,100.00,6.37,11.30,3909.75,-67.24,6.93,7.97,3894.00,-67.37,10025.00,100.00,5.02,11.28,4546.25,-54.65,7.30,8.05,4518.38,-54.93
300.3,7718.00,100.00,3.70,11.27,1558.00,-79.81,6.14,7.86,1551.00,-79.90,6844.00,100.00,5.42,11.40,1748.75,-74.45,7.41,8.10,1734.38,-74.66
400.1,14759.00,100.00,0.76,15.33,7744.02,-47.53,0.74,11.83,7744.02,-47.53,17 580.40,100.00,11.29,14.98,8884.69,-49.46,11.45,12.20,8799.19,-49.95
400.2,14 328.80,100.00,10.61,14.88,5499.50,-61.62,10.92,12.00,5490.50,-61.68,19094.00,100.00,8.03,15.19,5907.88,-69.06,10.60,12.31,5896.88,-69.12
400.3,9739.00,100.00,5.69,15.25,1993.50,-79.53,10.82,12.22,1971.00,-79.76,18515.00,100.00,7.47,15.15,2210.75,-88.06,10.60,12.48,2191.00,-88.17
500.1,21425.70,100.00,1.75,19.82,9331.52,-56.45,1.28,17.20,9331.52,-56.45,20076.00,100.00,8.79,19.19,9373.50,-53.31,15.74,17.70,9373.50,-53.31
500.2,16171.19,100.00,1.22,19.85,7162.85,-55.71,1.22,17.11,7162.85,-55.71,23757.75,100.00,8.99,19.43,7075.62,-70.22,14.97,17.62,7060.25,-70.28
500.3,17803.03,100.00,9.20,19.80,2671.67,-84.99,1.53,16.92,2671.51,-84.99,7448.00,100.00,2.04,19.72,2684.62,-63.96,14.44,17.32,2676.75,-64.06
600.1,23912.04,100.00,2.74,24.48,10809.50,-54.79,1.87,23.19,10809.50,-54.79,27431.00,100.00,13.76,23.75,11175.00,-59.26,19.80,23.64,11163.50,-59.30
600.2,18379.00,100.00,16.85,23.61,6768.00,-63.18,21.46,23.39,6753.25,-63.26,21245.04,100.00,10.38,24.20,9018.19,-57.55,21.83,23.90,8997.27,-57.65
600.3,9822.02,100.00,8.69,24.50,3068.17,-68.76,2.17,22.78,3068.17,-68.76,13645.00,100.00,4.05,24.39,3079.50,-77.43,20.86,23.31,3064.88,-77.54
700.1,36152.00,100.00,16.29,28.52,9433.50,-73.91,26.88,30.43,9408.50,-73.98,,,20.32,27.84,12447.80,,29.18,31.19,12441.80,
700.2,—,—,4.33,29.50,9456.69,,2.65,29.93,9456.69,,,,7.07,29.35,10156.90,,27.43,30.74,10147.00,
700.3,34334.00,100.00,3.88,29.51,3246.50,-90.54,25.19,30.26,3238.88,-90.57,,,5.65,29.48,3523.75,,26.75,30.54,3510.75,
800.1,,,13.11,36.19,12643.60,,35.49,39.19,12618.40,,,,21.76,35.09,14120.40,,36.76,39.40,14101.80,
800.2,,,4.66,36.34,9780.50,,33.39,38.61,9770.88,,,,28.94,33.51,9973.50,,37.42,39.80,9938.00,
800.3,,,4.13,36.36,3721.75,,35.25,39.01,3710.25,,,,16.83,35.59,3677.75,,34.84,38.80,3660.25,
900.1,,,14.90,41.85,15565.90,,4.77,47.02,15565.90,,,,12.75,41.53,15540.40,,40.55,48.33,15519.20,
900.2,,,5.62,41.91,11798.50,,4.18,46.77,11798.50,,,,19.41,41.02,11752.80,,43.78,47.91,11717.80,
900.3,,,17.50,41.94,4273.84,,4.88,47.22,4273.68,,,,13.25,41.79,4343.75,,42.63,47.42,4313.00,
1000.1,,,20.27,46.15,12188.00,,48.23,57.22,12154.80,,,,41.41,43.27,20319.20,,55.61,58.05,20079.00,
1000.2,,,19.04,46.91,10165.80,,49.54,57.64,10135.00,,,,27.13,45.76,12951.00,,51.71,57.46,12910.50,
1000.3,,,18.64,47.44,4643.68,,5.90,56.48,4643.68,,,,31.50,45.62,4433.00,,53.81,57.89,4398.50,
