Instância,K-trimmed,,,,K-centrum,,,,Hurwicz,,,
,correlated,,anticorrelated,,correlated,,anticorrelated,,correlated,,anticorrelated,
,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA
30.1,0.9770,0.4907,0.9753,0.4863,0.9867,0.5107,0.9860,0.4933,0.9907,0.4913,0.9940,0.4960
30.2,0.9570,0.4853,0.9713,0.4723,0.9863,0.4813,0.9953,0.5017,0.9840,0.4870,0.9737,0.4777
30.3,0.9697,0.4650,0.9583,0.4707,0.9750,0.4663,0.9857,0.4770,0.9760,0.4710,0.9903,0.4820
35.1,1.0810,0.5287,1.0833,0.5207,1.0780,0.5250,1.0967,0.5313,1.1010,0.5430,1.0887,0.5307
35.2,1.0723,0.5143,1.0660,0.5227,1.1027,0.5277,1.1023,0.5473,1.0983,0.5313,1.0773,0.5260
35.3,1.0730,0.5197,1.0873,0.5213,1.0720,0.5270,1.1323,0.5787,1.0717,0.5280,1.1037,0.5317
40.1,1.1750,0.5870,1.1673,0.5877,1.1863,0.6133,1.1933,0.6033,1.1767,0.6100,1.1640,0.6080
40.2,1.1363,0.5797,1.1217,0.5770,1.1707,0.6130,1.1840,0.6017,1.1570,0.5950,1.1543,0.5843
40.3,1.1517,0.5807,1.1543,0.5773,1.1403,0.5673,1.2277,0.6557,1.1477,0.6043,1.1947,0.6033
45.1,1.3210,0.6733,1.3317,0.6777,1.3430,0.7023,1.3673,0.7067,1.3433,0.6863,1.3227,0.6743
45.2,1.3033,0.6620,1.3037,0.6533,1.3360,0.6567,1.3653,0.6853,1.3417,0.6837,1.3380,0.6797
45.3,1.3147,0.6497,1.3040,0.6527,1.3280,0.6453,1.3103,0.6620,1.3080,0.6480,1.3620,0.7120
50.1,1.4067,0.7380,1.4067,0.7257,1.4187,0.7637,1.4393,0.7693,1.4110,0.7317,1.4313,0.7380
50.2,1.3983,0.7333,1.3877,0.7167,1.4020,0.7337,1.3890,0.7313,1.3873,0.7200,1.4267,0.7797
50.3,1.3980,0.7123,1.3910,0.7220,1.4090,0.7500,1.4007,0.7383,1.4040,0.7323,1.4383,0.7650
100.1,3.2103,1.7533,3.1940,1.7313,3.2263,1.7843,3.1933,1.8290,3.2340,1.8377,3.2163,1.7803
100.2,3.2007,1.6477,3.2337,1.7273,3.2077,1.7590,3.2447,1.9097,3.2093,1.7827,3.2127,1.8777
100.3,3.2100,1.6757,3.2237,1.6810,3.2167,1.6707,3.2237,1.7177,3.2193,1.7120,3.2350,1.9013
