Instância,K-trimmed,,K-centrum,,Hurwicz,
,correlated,anticorrelated,correlated,anticorrelated,correlated,anticorrelated
30.1,0.0011,0.0052,0.0001,0.0025,0.0004,0.5559
30.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.7104
30.3,0.0000,0.0000,0.5000,0.0001,0.1587,0.0009
35.1,0.0000,0.0000,0.0000,0.0138,0.0242,0.2553
35.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154
35.3,0.0000,0.0026,0.0000,0.0390,0.0013,0.0006
40.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.4036
40.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0051
45.1,0.0000,0.0000,0.0000,0.0000,0.0060,0.0006
45.2,0.0000,0.4065,0.0000,0.0000,0.0000,0.0000
45.3,0.0000,0.0390,0.0000,0.0000,0.0000,0.1802
50.1,0.0000,0.0000,0.0000,0.0000,0.0006,0.0001
50.2,0.0000,0.0000,0.0002,0.0000,0.0000,0.0006
50.3,0.0000,0.0000,0.5000,1.0000,0.0000,0.7104
100.1,0.0603,0.0000,0.0000,0.0000,0.0000,0.0007
100.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083
100.3,0.0000,0.0000,0.0000,1.0000,0.0000,0.9879
200.1,0.0000,0.0121,0.0000,0.0010,0.0002,0.4412
200.2,0.9504,0.0001,0.0000,0.0000,0.0072,0.0015
200.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9940
300.1,0.0050,0.2846,0.6415,0.0000,0.3024,0.0053
300.2,0.4354,0.0000,0.0000,0.0000,0.0000,0.0000
300.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0130
400.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0474
400.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400.3,0.0000,0.0000,0.0000,0.5617,0.0000,0.9998
500.1,0.0000,0.4296,0.0010,0.0011,0.0071,0.0004
500.2,0.0000,0.0000,0.0000,0.0000,0.0006,0.0801
500.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.1,0.0000,0.0000,0.0172,0.0000,0.0334,0.0264
600.2,0.0000,0.0000,0.0000,0.0000,0.0214,0.0318
600.3,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
700.1,0.0000,0.0046,0.0008,0.0000,0.0042,0.0083
700.2,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.9999
800.1,0.0000,0.0000,0.0000,0.0000,0.0013,0.0010
800.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
900.2,0.0000,0.0000,0.0000,0.0000,0.0004,0.0008
900.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
1000.1,0.0368,0.3340,0.0000,0.0000,0.6740,0.3235
1000.2,0.8801,0.0000,0.0000,0.0000,0.0048,0.0176
1000.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185
