Instância,K-trimmed,,,,K-centrum,,,,Hurwicz,,,
,correlated,,anticorrelated,,correlated,,anticorrelated,,correlated,,anticorrelated,
,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA,M-SA,T-SA
30.1,1.0940,0.5273,1.0927,0.5197,1.1093,0.5460,1.1243,0.5643,1.1020,0.5443,1.1107,0.5390
30.2,1.0900,0.5293,1.0900,0.5267,1.1053,0.5430,1.1017,0.5373,1.0990,0.5340,1.1103,0.5523
30.3,1.0960,0.5263,1.0620,0.4973,1.0957,0.5183,1.0617,0.5100,1.0967,0.5263,1.1013,0.5110
35.1,1.2310,0.5790,1.2040,0.5733,1.2457,0.5807,1.2557,0.6107,1.2373,0.5953,1.2357,0.5983
35.2,1.2240,0.5770,1.2133,0.5747,1.2267,0.5707,1.2190,0.5680,1.2273,0.5903,1.2450,0.6017
35.3,1.2430,0.5727,1.2103,0.5737,1.2490,0.5890,1.2097,0.5643,1.2473,0.5893,1.2300,0.5683
40.1,1.3120,0.6937,1.3243,0.6643,1.3497,0.6823,1.3407,0.6967,1.3470,0.6990,1.3503,0.7053
40.2,1.3047,0.6777,1.3087,0.6647,1.3043,0.6640,1.3130,0.6717,1.3180,0.6857,1.3157,0.6827
40.3,1.3150,0.6850,1.3220,0.6550,1.3360,0.6797,1.3403,0.6747,1.3220,0.6943,1.3400,0.6887
45.1,1.5167,0.7703,1.5020,0.7710,1.5117,0.7377,1.5293,0.7727,1.5367,0.7980,1.5257,0.7633
45.2,1.5247,0.7477,1.4880,0.7680,1.5390,0.8027,1.5080,0.7760,1.5283,0.7850,1.5237,0.7673
45.3,1.5063,0.7380,1.5070,0.7467,1.5297,0.7580,1.5227,0.7677,1.5300,0.7520,1.5463,0.7863
50.1,1.5807,0.8277,1.6117,0.8483,1.6453,0.8550,1.6327,0.8693,1.6373,0.8630,1.6167,0.8433
50.2,1.5960,0.8217,1.6070,0.8433,1.6507,0.8500,1.6387,0.8397,1.6473,0.8627,1.6113,0.8460
50.3,1.6197,0.8030,1.5977,0.8340,1.6437,0.8123,1.6917,0.9143,1.6473,0.8337,1.6523,0.8857
100.1,3.5657,1.9257,3.6243,1.8760,3.5753,1.8900,3.5947,2.0007,3.6107,2.0100,3.5900,2.0160
100.2,3.6020,1.8977,3.6133,1.9457,3.6093,1.9197,3.5967,1.9997,3.6130,1.9817,3.5900,2.1143
100.3,3.6303,1.9457,3.5800,1.9160,3.6333,2.0213,3.6690,2.0707,3.6150,1.8843,3.6127,2.0630
