Instância,Correlated,,,,,Anticorrelated,,,,
,Média da taxa de sucesso do crossover,Média da taxa de sucesso  da mutação,Média da taxa de sucesso do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da taxa de sucesso do crossover,Média da taxa de sucesso  da mutação,Média da taxa de sucesso do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.10,0.01,0.21,7.80,1.17704E+06,0.09,0.05,0.27,7.07,1.17699E+06
30.2,0.09,0.02,0.19,7.90,1.17705E+06,0.09,0.03,0.19,7.73,1.17704E+06
30.3,0.07,0.02,0.16,8.97,1.17715E+06,0.08,0.02,0.14,8.10,1.17707E+06
35.1,0.10,0.02,0.21,6.53,1.17694E+06,0.09,0.02,0.21,7.20,1.17700E+06
35.2,0.09,0.02,0.19,7.13,1.17699E+06,0.09,0.02,0.16,7.13,1.17699E+06
35.3,0.08,0.01,0.17,8.40,1.17710E+06,0.07,0.02,0.09,8.13,1.17707E+06
40.1,0.09,0.02,0.21,6.90,1.17697E+06,0.11,0.02,0.20,7.17,1.17699E+06
40.2,0.10,0.01,0.21,7.27,1.17700E+06,0.10,0.02,0.15,6.93,1.17698E+06
40.3,0.07,0.01,0.16,7.60,1.17703E+06,0.08,0.02,0.08,8.27,1.17708E+06
45.1,0.10,0.02,0.20,6.83,1.17697E+06,0.11,0.01,0.16,7.03,1.17698E+06
45.2,0.10,0.01,0.18,7.40,1.17701E+06,0.13,0.02,0.12,6.20,1.17692E+06
45.3,0.09,0.02,0.16,8.70,1.17712E+06,0.07,0.15,0.42,4.00,1.17673E+06
50.1,0.10,0.02,0.19,7.63,1.17703E+06,0.12,0.03,0.18,6.23,1.17692E+06
50.2,0.12,0.02,0.18,7.97,1.17706E+06,0.09,0.06,0.25,5.33,1.17684E+06
50.3,0.10,0.01,0.16,7.70,1.17704E+06,0.07,0.14,0.45,4.67,1.17679E+06
100.1,0.10,0.03,0.19,5.77,1.17688E+06,0.10,0.03,0.18,5.87,1.17689E+06
100.2,0.14,0.01,0.14,7.37,1.17701E+06,0.08,0.11,0.36,2.23,1.17659E+06
100.3,0.10,0.01,0.15,8.30,1.17709E+06,0.06,0.17,0.53,3.97,1.17673E+06
200.1,0.16,0.01,0.14,4.73,1.17679E+06,0.12,0.05,0.23,4.90,1.17681E+06
200.2,0.14,0.02,0.13,5.50,1.17686E+06,0.15,0.02,0.10,4.57,1.17678E+06
200.3,0.12,0.01,0.11,7.37,1.17701E+06,0.09,0.15,0.42,4.27,1.17675E+06
300.1,0.12,0.02,0.16,4.50,1.17678E+06,0.16,0.02,0.13,3.47,1.17669E+06
300.2,0.15,0.02,0.12,4.43,1.17677E+06,0.10,0.06,0.19,4.00,1.17673E+06
300.3,0.12,0.02,0.09,6.27,1.17692E+06,0.13,0.02,0.09,6.73,1.17696E+06
400.1,0.14,0.01,0.14,3.53,1.17669E+06,0.16,0.02,0.12,3.87,1.17672E+06
400.2,0.17,0.01,0.09,5.17,1.17683E+06,0.15,0.02,0.09,3.90,1.17672E+06
400.3,0.13,0.02,0.09,7.20,1.17700E+06,0.11,0.13,0.41,5.50,1.17686E+06
500.1,0.16,0.02,0.12,4.20,1.17675E+06,0.17,0.02,0.11,3.60,1.17670E+06
500.2,0.17,0.02,0.11,2.83,1.17664E+06,0.08,0.14,0.43,1.73,1.17654E+06
500.3,0.15,0.02,0.08,6.13,1.17691E+06,0.08,0.17,0.49,3.53,1.17669E+06
600.1,0.12,0.02,0.16,2.87,1.17664E+06,0.18,0.02,0.11,4.33,1.17676E+06
600.2,0.13,0.02,0.11,6.27,1.17692E+06,0.18,0.02,0.07,2.77,1.17663E+06
600.3,0.16,0.02,0.07,5.47,1.17685E+06,0.09,0.17,0.49,4.53,1.17678E+06
700.1,0.11,0.02,0.19,1.27,1.17651E+06,0.13,0.04,0.19,4.30,1.17676E+06
700.2,0.13,0.02,0.11,3.27,1.17667E+06,0.19,0.02,0.08,2.77,1.17663E+06
700.3,0.16,0.02,0.07,6.70,1.17696E+06,0.15,0.03,0.08,6.17,1.17691E+06
800.1,0.13,0.04,0.16,5.07,1.17682E+06,0.13,0.06,0.25,2.70,1.17662E+06
800.2,0.14,0.02,0.13,3.43,1.17669E+06,0.17,0.02,0.08,3.93,1.17673E+06
800.3,0.14,0.01,0.07,7.30,1.17701E+06,0.16,0.03,0.07,5.97,1.17690E+06
900.1,0.17,0.02,0.12,2.80,1.17663E+06,0.13,0.05,0.25,3.73,1.17671E+06
900.2,0.12,0.01,0.09,6.07,1.17690E+06,0.19,0.02,0.08,2.57,1.17661E+06
900.3,0.16,0.01,0.06,6.43,1.17693E+06,0.15,0.03,0.07,5.60,1.17687E+06
1000.1,0.14,0.02,0.14,4.10,1.17674E+06,0.17,0.03,0.12,3.30,1.17667E+06
1000.2,0.13,0.02,0.11,4.47,1.17677E+06,0.13,0.05,0.15,4.37,1.17676E+06
1000.3,0.16,0.02,0.06,5.67,1.17687E+06,0.10,0.16,0.48,4.30,1.17676E+06
