Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.05,0.17,0.06,0.02,0.09,542369.00,0.02,0.07,0.04,0.01,0.25,538183.00
30.2,0.05,0.14,0.03,0.02,0.04,542880.00,0.02,0.22,0.06,0.04,0.04,537510.00
30.3,0.02,0.05,0.03,0.02,0.00,537829.00,0.02,0.18,0.07,0.04,0.02,532173.00
35.1,0.05,0.15,0.06,0.01,0.17,539516.00,0.02,0.22,0.09,0.03,0.11,540109.00
35.2,0.06,0.16,0.06,0.02,0.07,540653.00,0.02,0.22,0.10,0.03,0.07,535688.00
35.3,0.06,0.10,0.03,0.02,0.00,547511.00,0.02,0.15,0.04,0.04,0.01,529340.00
40.1,0.05,0.16,0.05,0.02,0.18,551236.00,0.03,0.28,0.11,0.03,0.10,558193.00
40.2,0.08,0.17,0.06,0.01,0.10,547186.00,0.02,0.25,0.10,0.03,0.05,541730.00
40.3,0.07,0.14,0.03,0.02,0.01,573963.00,0.02,0.14,0.06,0.04,0.00,537700.00
45.1,0.05,0.17,0.06,0.02,0.18,544152.00,0.03,0.22,0.08,0.03,0.10,549415.00
45.2,0.07,0.18,0.06,0.02,0.09,544484.00,0.03,0.27,0.14,0.02,0.09,541648.00
45.3,0.04,0.13,0.01,0.03,0.00,542887.00,0.02,0.04,0.04,0.00,0.24,545184.00
50.1,0.05,0.18,0.06,0.03,0.17,533055.00,0.03,0.23,0.12,0.02,0.17,530726.00
50.2,0.05,0.27,0.09,0.03,0.04,538461.00,0.03,0.07,0.04,0.02,0.23,552772.00
50.3,0.05,0.21,0.04,0.02,0.01,547472.00,0.02,0.04,0.04,0.00,0.24,533564.00
100.1,0.06,0.24,0.08,0.02,0.22,545206.00,0.03,0.18,0.08,0.03,0.29,523342.00
100.2,0.06,0.36,0.15,0.02,0.04,543884.00,0.03,0.08,0.05,0.01,0.34,537699.00
100.3,0.04,0.23,0.03,0.04,0.00,541276.00,0.02,0.03,0.04,0.00,0.27,541650.00
200.1,0.04,0.39,0.20,0.03,0.10,531537.00,0.05,0.26,0.13,0.02,0.45,547799.00
200.2,0.06,0.34,0.11,0.03,0.10,518541.00,0.02,0.38,0.21,0.03,0.07,530851.00
200.3,0.06,0.31,0.08,0.03,0.02,521784.00,0.03,0.09,0.09,0.01,0.38,541162.00
300.1,0.05,0.31,0.10,0.02,0.25,530907.00,0.03,0.40,0.24,0.02,0.12,523166.00
300.2,0.07,0.40,0.14,0.02,0.08,549750.00,0.03,0.14,0.06,0.03,0.29,543223.00
300.3,0.07,0.34,0.10,0.03,0.03,533193.00,0.02,0.38,0.19,0.04,0.01,531725.00
400.1,0.05,0.39,0.13,0.03,0.19,538901.00,0.03,0.44,0.25,0.02,0.21,548518.00
400.2,0.05,0.43,0.21,0.02,0.06,523836.00,0.02,0.42,0.25,0.03,0.05,538670.00
400.3,0.06,0.37,0.11,0.03,0.03,544347.00,0.03,0.12,0.11,0.00,0.42,528497.00
500.1,0.03,0.41,0.17,0.03,0.17,541648.00,0.03,0.44,0.28,0.02,0.13,539172.00
500.2,0.06,0.46,0.18,0.02,0.09,540861.00,0.04,0.19,0.10,0.01,0.48,550088.00
500.3,0.05,0.42,0.10,0.03,0.00,531018.00,0.03,0.09,0.08,0.00,0.37,552547.00
600.1,0.04,0.37,0.13,0.03,0.23,536566.00,0.03,0.48,0.28,0.02,0.18,530051.00
600.2,0.05,0.38,0.17,0.03,0.16,540893.00,0.03,0.47,0.30,0.02,0.09,537646.00
600.3,0.06,0.45,0.11,0.02,0.01,521960.00,0.04,0.09,0.09,0.00,0.37,535699.00
700.1,0.04,0.35,0.10,0.02,0.34,542900.00,0.05,0.34,0.21,0.02,0.43,527305.00
700.2,0.06,0.41,0.16,0.03,0.14,536625.00,0.03,0.48,0.31,0.02,0.09,537737.00
700.3,0.06,0.46,0.11,0.02,0.01,522820.00,0.02,0.39,0.24,0.04,0.01,518050.00
800.1,0.04,0.37,0.13,0.03,0.24,536933.00,0.08,0.37,0.22,0.02,0.56,532042.00
800.2,0.06,0.41,0.14,0.02,0.18,547189.00,0.02,0.45,0.27,0.03,0.05,552299.00
800.3,0.05,0.40,0.13,0.03,0.03,548290.00,0.02,0.40,0.23,0.04,0.01,535835.00
900.1,0.04,0.42,0.21,0.03,0.18,520839.00,0.07,0.38,0.22,0.02,0.57,536049.00
900.2,0.05,0.39,0.17,0.03,0.11,529461.00,0.03,0.49,0.34,0.02,0.09,530920.00
900.3,0.05,0.47,0.10,0.02,0.01,545092.00,0.02,0.38,0.26,0.03,0.01,515384.00
1000.1,0.04,0.41,0.12,0.03,0.24,530066.00,0.03,0.48,0.31,0.02,0.24,515104.00
1000.2,0.05,0.41,0.14,0.03,0.17,529610.00,0.03,0.20,0.12,0.02,0.31,551204.00
1000.3,0.06,0.48,0.13,0.02,0.01,533220.00,0.04,0.10,0.10,0.00,0.37,533502.00
