Instância,Correlated,,,,,Anticorrelated,,,,
,Média da taxa de sucesso do crossover,Média da taxa de sucesso  da mutação,Média da taxa de sucesso do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da taxa de sucesso do crossover,Média da taxa de sucesso  da mutação,Média da taxa de sucesso do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.08,0.02,0.10,7.40,1.17701E+06,0.10,0.02,0.08,7.50,1.17702E+06
30.2,0.09,0.01,0.15,8.07,1.17707E+06,0.11,0.01,0.06,8.13,1.17707E+06
30.3,0.07,0.02,0.16,8.87,1.17714E+06,0.09,0.02,0.10,7.67,1.17703E+06
35.1,0.10,0.02,0.09,7.93,1.17706E+06,0.10,0.02,0.08,7.70,1.17704E+06
35.2,0.11,0.01,0.17,7.37,1.17701E+06,0.11,0.02,0.08,7.17,1.17699E+06
35.3,0.03,0.01,0.16,9.00,1.17715E+06,0.07,0.12,0.36,6.10,1.17691E+06
40.1,0.11,0.02,0.12,7.40,1.17701E+06,0.13,0.02,0.07,7.37,1.17701E+06
40.2,0.10,0.02,0.18,6.77,1.17696E+06,0.11,0.02,0.07,7.00,1.17698E+06
40.3,0.03,0.02,0.16,9.00,1.17715E+06,0.07,0.10,0.31,6.07,1.17690E+06
45.1,0.11,0.02,0.18,7.33,1.17701E+06,0.13,0.03,0.14,5.53,1.17686E+06
45.2,0.03,0.01,0.09,8.80,1.17713E+06,0.07,0.09,0.32,4.23,1.17675E+06
45.3,0.06,0.01,0.13,8.77,1.17713E+06,0.04,0.01,0.12,8.83,1.17714E+06
50.1,0.11,0.02,0.17,7.20,1.17700E+06,0.10,0.04,0.23,5.93,1.17689E+06
50.2,0.05,0.01,0.09,7.93,1.17706E+06,0.08,0.02,0.06,8.57,1.17711E+06
50.3,0.08,0.01,0.14,8.07,1.17707E+06,0.05,0.02,0.09,8.10,1.17707E+06
100.1,0.13,0.02,0.10,5.60,1.17687E+06,0.14,0.02,0.05,4.77,1.17680E+06
100.2,0.12,0.02,0.13,6.10,1.17691E+06,0.06,0.12,0.39,2.03,1.17657E+06
100.3,0.03,0.01,0.12,8.67,1.17712E+06,0.04,0.02,0.08,8.47,1.17710E+06
200.1,0.13,0.01,0.05,6.37,1.17693E+06,0.15,0.03,0.11,2.87,1.17664E+06
200.2,0.13,0.02,0.11,5.77,1.17688E+06,0.11,0.02,0.05,7.30,1.17700E+06
200.3,0.05,0.02,0.09,8.83,1.17714E+06,0.13,0.02,0.05,7.03,1.17698E+06
300.1,0.08,0.01,0.05,8.63,1.17712E+06,0.12,0.01,0.04,7.87,1.17705E+06
300.2,0.13,0.02,0.07,4.77,1.17680E+06,0.14,0.02,0.05,4.23,1.17675E+06
300.3,0.08,0.02,0.08,8.53,1.17711E+06,0.11,0.01,0.05,8.30,1.17709E+06
400.1,0.12,0.02,0.13,4.77,1.17680E+06,0.13,0.02,0.04,7.17,1.17699E+06
400.2,0.07,0.01,0.06,8.97,1.17715E+06,0.10,0.01,0.04,8.37,1.17709E+06
400.3,0.04,0.01,0.06,9.00,1.17715E+06,0.07,0.02,0.05,8.87,1.17714E+06
500.1,0.09,0.01,0.05,8.13,1.17708E+06,0.14,0.02,0.05,6.07,1.17690E+06
500.2,0.12,0.02,0.06,7.60,1.17703E+06,0.13,0.02,0.06,6.50,1.17694E+06
500.3,0.13,0.01,0.08,6.23,1.17692E+06,0.09,0.22,0.52,2.17,1.17658E+06
600.1,0.11,0.02,0.05,7.93,1.17706E+06,0.13,0.05,0.24,2.37,1.17660E+06
600.2,0.08,0.01,0.05,8.97,1.17715E+06,0.15,0.02,0.05,3.70,1.17671E+06
600.3,0.05,0.01,0.07,9.00,1.17715E+06,0.13,0.01,0.05,7.37,1.17701E+06
700.1,0.11,0.01,0.05,8.30,1.17709E+06,0.18,0.02,0.09,2.13,1.17658E+06
700.2,0.14,0.02,0.11,3.03,1.17665E+06,0.12,0.01,0.04,8.73,1.17713E+06
700.3,0.06,0.02,0.06,9.00,1.17715E+06,0.12,0.01,0.04,8.80,1.17713E+06
800.1,0.13,0.03,0.14,4.77,1.17680E+06,0.13,0.02,0.05,7.70,1.17704E+06
800.2,0.07,0.02,0.06,9.00,1.17715E+06,0.13,0.02,0.05,6.37,1.17693E+06
800.3,0.06,0.02,0.06,9.00,1.17715E+06,0.13,0.02,0.05,7.67,1.17704E+06
900.1,0.14,0.02,0.07,3.07,1.17666E+06,0.13,0.04,0.23,2.10,1.17658E+06
900.2,0.08,0.01,0.04,9.00,1.17715E+06,0.14,0.02,0.05,4.27,1.17676E+06
900.3,0.14,0.02,0.06,6.07,1.17690E+06,0.11,0.01,0.05,8.90,1.17714E+06
1000.1,0.11,0.01,0.04,8.87,1.17714E+06,0.19,0.03,0.09,1.50,1.17652E+06
1000.2,0.08,0.02,0.05,9.00,1.17715E+06,0.15,0.02,0.05,2.87,1.17664E+06
1000.3,0.13,0.02,0.06,5.07,1.17682E+06,0.12,0.02,0.04,7.57,1.17703E+06
