Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.07,0.21,0.05,0.03,0.02,562807.00,0.06,0.24,0.09,0.03,0.03,543204.00
30.2,0.05,0.13,0.04,0.02,0.03,533518.00,0.04,0.19,0.10,0.02,0.01,544127.00
30.3,0.02,0.06,0.02,0.02,0.00,530738.00,0.05,0.15,0.05,0.02,0.01,530021.00
35.1,0.05,0.23,0.06,0.02,0.03,526760.00,0.04,0.23,0.08,0.03,0.03,528909.00
35.2,0.06,0.17,0.07,0.01,0.09,528639.00,0.05,0.21,0.09,0.01,0.02,539982.00
35.3,0.01,0.06,0.00,0.03,0.00,559802.00,0.02,0.03,0.03,0.00,0.19,550825.00
40.1,0.04,0.21,0.08,0.02,0.07,555256.00,0.05,0.27,0.10,0.03,0.05,539032.00
40.2,0.07,0.17,0.06,0.01,0.12,558853.00,0.05,0.23,0.08,0.02,0.03,541597.00
40.3,0.02,0.07,0.00,0.04,0.00,550319.00,0.02,0.04,0.04,0.00,0.19,559579.00
45.1,0.04,0.16,0.05,0.02,0.18,558246.00,0.05,0.23,0.11,0.01,0.17,546330.00
45.2,0.04,0.19,0.02,0.03,0.00,532454.00,0.02,0.05,0.04,0.00,0.27,522614.00
45.3,0.03,0.10,0.01,0.03,0.00,533110.00,0.02,0.07,0.01,0.04,0.00,553803.00
50.1,0.04,0.20,0.07,0.02,0.18,555283.00,0.04,0.14,0.07,0.01,0.29,541813.00
50.2,0.05,0.25,0.05,0.04,0.00,551138.00,0.05,0.24,0.06,0.03,0.00,548198.00
50.3,0.06,0.20,0.04,0.02,0.01,562631.00,0.04,0.16,0.04,0.03,0.00,550750.00
100.1,0.05,0.34,0.10,0.02,0.07,536387.00,0.05,0.37,0.19,0.03,0.03,548488.00
100.2,0.07,0.28,0.09,0.02,0.12,528671.00,0.02,0.07,0.05,0.01,0.36,540693.00
100.3,0.04,0.18,0.01,0.05,0.00,539377.00,0.04,0.24,0.02,0.04,0.00,543369.00
200.1,0.05,0.38,0.11,0.03,0.01,525246.00,0.05,0.41,0.22,0.02,0.18,525432.00
200.2,0.06,0.35,0.14,0.02,0.11,559293.00,0.05,0.35,0.11,0.03,0.00,544913.00
200.3,0.04,0.28,0.02,0.04,0.00,539102.00,0.06,0.36,0.09,0.02,0.00,546524.00
300.1,0.04,0.37,0.06,0.04,0.00,525820.00,0.05,0.39,0.13,0.04,0.00,550828.00
300.2,0.05,0.42,0.14,0.03,0.04,533349.00,0.05,0.42,0.19,0.02,0.03,527949.00
300.3,0.04,0.35,0.03,0.04,0.00,525397.00,0.06,0.37,0.07,0.03,0.00,540559.00
400.1,0.05,0.38,0.13,0.02,0.24,524599.00,0.05,0.45,0.15,0.04,0.00,543309.00
400.2,0.05,0.33,0.03,0.04,0.00,531257.00,0.05,0.37,0.08,0.04,0.00,526882.00
400.3,0.03,0.33,0.01,0.04,0.00,551070.00,0.04,0.37,0.05,0.04,0.00,540453.00
500.1,0.04,0.36,0.05,0.04,0.00,531098.00,0.04,0.45,0.22,0.03,0.02,534820.00
500.2,0.05,0.43,0.08,0.03,0.00,526683.00,0.04,0.44,0.18,0.03,0.02,537771.00
500.3,0.06,0.40,0.12,0.03,0.02,531769.00,0.03,0.11,0.08,0.00,0.46,543340.00
600.1,0.05,0.43,0.12,0.03,0.01,545957.00,0.05,0.38,0.21,0.01,0.55,530460.00
600.2,0.05,0.39,0.02,0.04,0.00,538022.00,0.05,0.46,0.21,0.03,0.03,540054.00
600.3,0.03,0.36,0.01,0.04,0.00,550988.00,0.05,0.45,0.13,0.02,0.00,542526.00
700.1,0.04,0.44,0.11,0.03,0.01,527011.00,0.06,0.52,0.28,0.02,0.14,542205.00
700.2,0.05,0.45,0.16,0.02,0.14,539689.00,0.06,0.43,0.10,0.04,0.00,534628.00
700.3,0.03,0.36,0.01,0.04,0.00,535971.00,0.05,0.42,0.08,0.03,0.00,546649.00
800.1,0.05,0.41,0.17,0.03,0.23,526167.00,0.05,0.45,0.18,0.03,0.01,532412.00
800.2,0.04,0.40,0.03,0.04,0.00,538245.00,0.05,0.47,0.14,0.03,0.00,534388.00
800.3,0.03,0.36,0.01,0.05,0.00,540487.00,0.05,0.46,0.11,0.03,0.00,541452.00
900.1,0.05,0.48,0.19,0.03,0.06,537590.00,0.05,0.41,0.23,0.01,0.58,521526.00
900.2,0.05,0.38,0.03,0.04,0.00,540860.00,0.05,0.48,0.19,0.03,0.02,539878.00
900.3,0.05,0.45,0.14,0.02,0.02,523744.00,0.04,0.44,0.08,0.03,0.00,545425.00
1000.1,0.05,0.43,0.11,0.03,0.00,537972.00,0.06,0.53,0.28,0.02,0.14,540868.00
1000.2,0.04,0.42,0.03,0.04,0.00,518060.00,0.05,0.49,0.21,0.02,0.02,542242.00
1000.3,0.05,0.45,0.14,0.03,0.02,505669.00,0.05,0.48,0.15,0.02,0.00,544104.00
