Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana,Tempo para atingir o ótimo,Tempo total,OWA mediano,Desvio percentual da solução mediana
30.1,902.50,50.54,0.23,0.99,890.59,-1.32,0.37,0.51,887.84,-1.62,1 069.57,68.21,0.26,0.99,1052.07,-1.64,0.35,0.49,1047.57,-2.06
30.2,702.25,33.78,0.18,0.99,699.63,-0.37,0.26,0.48,697.25,-0.71,1 045.84,51.20,0.33,1.00,1037.09,-0.84,0.37,0.50,1033.59,-1.17
30.3,339.00,20.06,0.08,0.98,341.00,0.59,0.06,0.47,341.00,0.59,895.75,40.39,0.23,0.99,893.75,-0.22,0.32,0.48,892.50,-0.36
35.1,1 055.50,58.42,0.32,1.08,1040.34,-1.44,0.39,0.53,1034.59,-1.98,1 249.67,62.02,0.43,1.10,1232.92,-1.34,0.41,0.53,1222.42,-2.18
35.2,814.00,31.39,0.33,1.10,829.00,1.84,0.35,0.53,819.50,0.68,1 340.75,43.97,0.32,1.10,1319.12,-1.61,0.42,0.55,1315.00,-1.92
35.3,329.29,44.86,0.01,1.07,329.29,0.00,0.00,0.53,329.29,0.00,1639.00,46.67,0.73,1.13,1656.50,1.07,0.44,0.58,1657.00,1.10
40.1,1152.00,38.06,0.59,1.19,1155.25,0.28,0.41,0.61,1144.12,-0.68,1 458.17,68.11,0.68,1.19,1420.84,-2.56,0.50,0.60,1414.50,-2.99
40.2,933.50,34.07,0.40,1.17,957.25,2.54,0.47,0.61,943.00,1.02,1 573.25,45.16,0.49,1.18,1537.62,-2.26,0.46,0.60,1533.75,-2.51
40.3,340.86,54.27,0.01,1.14,339.43,-0.42,0.01,0.57,339.43,-0.42,1 883.50,47.97,0.76,1.23,1896.50,0.69,0.52,0.66,1896.25,0.68
45.1,1338.00,35.84,0.44,1.34,1348.25,0.77,0.50,0.70,1326.00,-0.90,1 644.25,43.45,0.71,1.37,1643.25,-0.06,0.64,0.71,1640.75,-0.21
45.2,987.71,71.59,0.03,1.34,971.28,-1.66,0.38,0.66,969.28,-1.87,1898.00,44.47,1.01,1.37,1974.25,4.02,0.54,0.69,1981.50,4.40
45.3,402.67,42.18,0.09,1.33,400.00,-0.66,0.08,0.65,400.00,-0.66,956.57,51.67,0.03,1.31,945.28,-1.18,0.02,0.66,945.28,-1.18
50.1,1442.00,37.00,0.53,1.42,1442.50,0.03,0.57,0.76,1426.00,-1.11,1 778.50,41.24,0.69,1.44,1791.25,0.72,0.62,0.77,1770.50,-0.45
50.2,1 084.71,70.67,0.26,1.40,1058.78,-2.39,0.58,0.73,1053.28,-2.90,1 590.14,69.19,0.27,1.39,1526.93,-3.98,0.47,0.73,1521.28,-4.33
50.3,470.75,28.89,0.26,1.41,471.13,0.08,0.57,0.75,465.50,-1.12,1 203.67,59.15,0.20,1.40,1159.50,-3.67,0.45,0.74,1158.00,-3.79
100.1,2622.00,76.18,1.73,3.23,2564.88,-2.18,1.48,1.78,2534.62,-3.33,3 404.67,84.27,2.34,3.19,3360.34,-1.30,1.70,1.83,3342.51,-1.83
100.2,1997.00,48.55,1.39,3.21,1918.75,-3.92,1.42,1.76,1895.25,-5.10,4199.00,56.04,2.95,3.24,4410.75,5.04,1.55,1.91,4360.00,3.83
100.3,781.86,90.52,0.19,3.22,735.57,-5.92,0.72,1.67,735.57,-5.92,2309.00,75.60,0.30,3.22,2020.64,-12.49,1.18,1.72,2019.36,-12.54
200.1,10580.00,96.19,3.13,7.03,4680.09,-55.76,3.62,4.34,4678.01,-55.78,10352.00,92.08,5.65,7.06,6611.88,-36.13,4.17,4.51,6567.75,-36.56
200.2,3 708.50,75.72,3.34,6.99,3469.00,-6.46,3.45,4.51,3460.50,-6.69,10508.00,94.41,2.31,7.10,5624.28,-46.48,3.76,4.43,5619.28,-46.52
200.3,9 892.02,98.83,0.72,7.17,1265.00,-87.21,3.18,4.30,1262.67,-87.24,8 612.25,86.26,2.83,7.11,5835.50,-32.24,3.73,4.53,5827.62,-32.33
300.1,17582.00,98.33,1.71,11.47,6609.99,-62.40,7.07,7.89,6602.71,-62.45,17425.00,97.22,2.37,11.44,8829.63,-49.33,6.81,7.97,8825.27,-49.35
300.2,13993.00,98.50,7.30,11.33,5021.38,-64.12,7.09,7.97,5008.88,-64.20,17837.00,91.65,8.43,11.23,10667.50,-40.19,6.93,7.99,10572.10,-40.73
300.3,16798.00,99.98,1.73,11.40,1768.00,-89.47,6.29,7.71,1764.09,-89.50,16947.00,95.25,2.59,11.38,6373.60,-62.39,6.54,8.00,6369.01,-62.42
400.1,20988.00,—,9.07,15.06,8587.50,-59.08,10.19,12.18,8569.25,-59.17,13 035.30,99.94,6.55,15.25,11557.30,-11.34,11.20,12.41,11545.80,-11.43
400.2,7 032.99,99.92,1.08,15.30,6173.57,-12.22,8.16,12.02,6172.28,-12.24,20195.00,99.96,3.07,15.39,10724.50,-46.90,10.37,12.12,10716.80,-46.93
400.3,19998.00,99.99,0.77,15.36,2246.28,-88.77,9.25,12.36,2245.28,-88.77,20045.00,99.96,1.41,15.39,7579.42,-62.19,10.45,12.24,7575.56,-62.21
500.1,24894.97,—,5.99,19.74,10283.80,-58.69,15.32,17.37,10278.10,-58.71,25116.05,—,11.46,19.37,14750.90,-41.27,15.95,17.72,14735.00,-41.33
500.2,24970.04,—,8.81,19.61,7661.68,-69.32,15.51,17.47,7645.27,-69.38,24670.50,—,12.39,19.44,17408.80,-29.43,15.34,17.86,17300.40,-29.87
500.3,24377.00,—,9.67,19.38,2831.25,-88.39,15.34,17.28,2808.75,-88.48,24792.00,—,17.83,19.12,24413.50,-1.53,15.07,19.03,24000.50,-3.19
600.1,30949.06,—,8.23,24.25,12059.90,-61.03,21.81,23.84,12037.80,-61.10,31096.00,—,19.37,23.12,18756.80,-39.68,19.98,24.60,18588.80,-40.22
600.2,30971.96,—,2.06,24.53,8956.71,-71.08,20.56,23.67,8954.49,-71.09,31256.00,—,19.34,23.32,20908.40,-33.11,21.44,24.22,20761.00,-33.58
600.3,29437.97,—,1.77,24.47,3162.14,-89.26,14.65,23.64,3160.28,-89.26,30596.00,—,11.21,24.16,17162.50,-43.91,22.28,23.87,17131.40,-44.01
700.1,—,—,7.90,29.32,14025.00,,26.23,30.55,14008.70,,,,23.42,27.57,21381.60,,30.23,31.75,21135.50,
700.2,35912.00,—,20.51,27.77,10345.00,-71.19,26.79,31.10,10301.50,-71.31,,,3.61,29.42,18124.50,,26.82,30.89,18117.50,
700.3,34333.96,—,2.41,29.57,3570.50,-89.60,22.96,30.58,3568.36,-89.61,,,5.06,29.48,14509.50,,26.08,31.01,14502.20,
800.1,,,22.85,34.67,15846.00,,34.40,39.29,15829.80,,,,19.27,35.87,22987.00,,36.44,39.52,22961.80,
800.2,,,3.11,36.34,11378.70,,30.72,39.15,11375.70,,,,21.43,35.31,22213.60,,36.98,39.29,22168.00,
800.3,,,3.12,36.39,4090.78,,31.17,38.94,4089.28,,,,12.94,35.89,22751.60,,36.09,39.73,22715.40,
900.1,,,31.47,39.07,17564.50,,45.17,48.26,17533.00,,,,34.90,38.77,27524.50,,42.25,48.77,27355.20,
900.2,,,3.93,42.11,12615.80,,39.43,47.85,12613.10,,,,32.31,39.71,30808.90,,43.33,49.21,30575.40,
900.3,,,24.08,40.64,4524.00,,40.98,47.78,4512.50,,,,8.74,41.98,18514.30,,45.92,48.23,18496.70,
1000.1,,,9.03,47.57,18652.20,,51.62,57.21,18634.60,,,,41.09,43.19,30251.20,,54.31,59.14,29829.20,
1000.2,,,4.91,47.62,13843.20,,45.57,57.36,13840.30,,,,39.10,43.76,34243.10,,55.98,58.54,33954.60,
