Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.03,0.13,0.04,0.02,0.09,543116.00,0.08,0.22,0.07,0.03,0.06,540018.00
30.2,0.05,0.19,0.03,0.03,0.02,552846.00,0.04,0.13,0.05,0.02,0.03,525887.00
30.3,0.01,0.02,0.00,0.03,0.00,540830.00,0.05,0.13,0.04,0.02,0.02,536759.00
35.1,0.05,0.19,0.05,0.03,0.01,533651.00,0.05,0.19,0.05,0.03,0.03,530042.00
35.2,0.06,0.14,0.04,0.02,0.00,541416.00,0.06,0.17,0.05,0.03,0.01,544934.00
35.3,0.05,0.09,0.03,0.02,0.00,542875.00,0.02,0.10,0.01,0.03,0.00,547220.00
40.1,0.02,0.02,0.01,0.03,0.00,547955.00,0.03,0.16,0.06,0.03,0.04,544264.00
40.2,0.04,0.10,0.04,0.03,0.01,554530.00,0.03,0.11,0.03,0.02,0.06,547389.00
40.3,0.05,0.12,0.01,0.02,0.00,548533.00,0.04,0.14,0.02,0.03,0.00,542179.00
45.1,0.04,0.13,0.05,0.03,0.03,551178.00,0.04,0.19,0.07,0.02,0.06,543696.00
45.2,0.02,0.08,0.04,0.03,0.03,543873.00,0.04,0.13,0.05,0.02,0.08,535030.00
45.3,0.01,0.06,0.00,0.03,0.00,550327.00,0.03,0.07,0.01,0.04,0.00,547866.00
50.1,0.03,0.09,0.03,0.02,0.11,545210.00,0.02,0.15,0.07,0.03,0.11,541066.00
50.2,0.02,0.06,0.00,0.03,0.00,555021.00,0.06,0.22,0.05,0.03,0.01,540262.00
50.3,0.04,0.12,0.02,0.03,0.00,540226.00,0.03,0.12,0.03,0.03,0.00,554177.00
100.1,0.03,0.18,0.06,0.03,0.09,541406.00,0.07,0.28,0.07,0.04,0.02,534811.00
100.2,0.01,0.03,0.00,0.04,0.00,555784.00,0.04,0.23,0.08,0.03,0.02,531611.00
100.3,0.04,0.18,0.01,0.03,0.00,524457.00,0.04,0.14,0.04,0.03,0.01,528535.00
200.1,0.02,0.04,0.01,0.04,0.00,541839.00,0.08,0.35,0.07,0.03,0.02,517940.00
200.2,0.03,0.18,0.06,0.03,0.04,532344.00,0.04,0.26,0.07,0.03,0.02,547249.00
200.3,0.02,0.15,0.03,0.04,0.00,545198.00,0.04,0.32,0.03,0.04,0.00,532624.00
300.1,0.03,0.23,0.05,0.03,0.09,537562.00,0.03,0.24,0.07,0.03,0.13,541357.00
300.2,0.03,0.24,0.06,0.03,0.05,549243.00,0.04,0.32,0.09,0.03,0.01,552159.00
300.3,0.03,0.13,0.02,0.04,0.01,548398.00,0.05,0.26,0.07,0.04,0.00,552137.00
400.1,0.02,0.06,0.01,0.05,0.00,539286.00,0.06,0.40,0.07,0.04,0.01,525208.00
400.2,0.04,0.34,0.09,0.03,0.01,515881.00,0.04,0.30,0.07,0.03,0.01,542481.00
400.3,0.04,0.17,0.04,0.04,0.01,542060.00,0.04,0.22,0.05,0.03,0.01,554721.00
500.1,0.02,0.05,0.01,0.04,0.00,539460.00,0.04,0.26,0.07,0.03,0.14,539674.00
500.2,0.02,0.07,0.01,0.05,0.00,536450.00,0.04,0.30,0.09,0.03,0.01,538859.00
500.3,0.02,0.05,0.00,0.05,0.00,530306.00,0.03,0.24,0.06,0.04,0.00,538121.00
600.1,0.02,0.08,0.01,0.04,0.00,541832.00,0.04,0.35,0.12,0.03,0.02,537195.00
600.2,0.03,0.25,0.09,0.04,0.03,533367.00,0.06,0.44,0.11,0.04,0.00,546792.00
600.3,0.01,0.05,0.00,0.05,0.00,526371.00,0.03,0.29,0.05,0.03,0.00,534233.00
700.1,0.04,0.30,0.07,0.03,0.08,530373.00,0.04,0.30,0.08,0.02,0.16,537972.00
700.2,0.02,0.06,0.01,0.05,0.00,542570.00,0.05,0.44,0.10,0.04,0.00,534778.00
700.3,0.03,0.35,0.03,0.04,0.00,532870.00,0.03,0.28,0.03,0.03,0.00,527932.00
800.1,0.04,0.45,0.10,0.03,0.01,537792.00,0.04,0.36,0.13,0.03,0.02,538102.00
800.2,0.04,0.39,0.06,0.04,0.00,522069.00,0.05,0.42,0.12,0.03,0.08,535909.00
800.3,0.04,0.37,0.02,0.04,0.00,538017.00,0.04,0.39,0.09,0.03,0.01,530013.00
900.1,0.02,0.07,0.02,0.04,0.00,543597.00,0.04,0.31,0.10,0.04,0.02,539141.00
900.2,0.02,0.06,0.01,0.05,0.00,524872.00,0.04,0.39,0.09,0.03,0.01,521761.00
900.3,0.02,0.06,0.00,0.05,0.00,532521.00,0.04,0.36,0.05,0.04,0.00,537021.00
1000.1,0.03,0.28,0.08,0.03,0.05,517521.00,0.06,0.48,0.07,0.03,0.01,545412.00
1000.2,0.03,0.26,0.06,0.03,0.02,528250.00,0.05,0.34,0.09,0.04,0.01,533351.00
1000.3,0.02,0.06,0.00,0.05,0.00,533946.00,0.05,0.42,0.09,0.03,0.01,528454.00
