,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans
30.1,0.0817882,0.216339,0.0721439,0.0297434,0.0560329
30.2,0.0413519,0.132247,0.0517261,0.0227695,0.0259451
30.3,0.0544005,0.133052,0.0358022,0.0173052,0.0190545
35.1,0.0478334,0.194467,0.051259,0.0331553,0.025681
35.2,0.0599987,0.172899,0.0493968,0.0253654,0.0146984
35.3,0.0242535,0.0962709,0.00955116,0.029731,0.00472045
40.1,0.0279654,0.155714,0.0647306,0.0284112,0.0441043
40.2,0.0342194,0.112365,0.0322062,0.0196528,0.0638748
40.3,0.0377031,0.139726,0.0204004,0.0345736,0.00155796
45.1,0.0395389,0.190904,0.0665521,0.0240068,0.0634146
45.2,0.0368306,0.134943,0.0500407,0.0199767,0.0757646
45.3,0.0265265,0.0728736,0.0128073,0.0352518,0.000348607
50.1,0.0242491,0.15249,0.0658231,0.0255467,0.11191
50.2,0.0574335,0.217025,0.052745,0.0275981,0.0149952
50.3,0.0278624,0.115134,0.0291841,0.029094,0.00242989
100.1,0.0683554,0.283863,0.0698207,0.0356047,0.0215119
100.2,0.0398112,0.234052,0.0793852,0.0259778,0.0190701
100.3,0.0372337,0.143397,0.0372407,0.0327119,0.00692267
200.1,0.0775701,0.352665,0.0724056,0.0347775,0.0224521
200.2,0.041702,0.264527,0.0715765,0.0334662,0.0155535
200.3,0.0425993,0.318977,0.0308985,0.0420854,0.000733291
300.1,0.0326735,0.236594,0.0684784,0.0290323,0.134114
300.2,0.0404202,0.315073,0.0932134,0.0302819,0.0111586
300.3,0.0500413,0.258589,0.0664128,0.035015,0.00313933
400.1,0.0640997,0.39812,0.0683202,0.0371327,0.013915
400.2,0.0411278,0.296437,0.0715763,0.0323887,0.0110682
400.3,0.0366592,0.216024,0.0471825,0.0260514,0.0103633
500.1,0.0372089,0.262064,0.0676309,0.0270587,0.143955
500.2,0.0404244,0.300029,0.0894768,0.0288349,0.00916268
500.3,0.0296634,0.239954,0.0591888,0.0379229,0.00162146
600.1,0.0396592,0.354488,0.121095,0.0277334,0.0237073
600.2,0.0572102,0.43884,0.108732,0.0393522,0.00363992
600.3,0.0321177,0.287195,0.046289,0.0329523,0.00142114
700.1,0.038778,0.302417,0.0804382,0.0242605,0.158318
700.2,0.0504862,0.443208,0.0966438,0.0372993,0.00257984
700.3,0.0325368,0.279692,0.0339027,0.0325431,0.00105576
800.1,0.0412008,0.363647,0.12861,0.0278642,0.0229923
800.2,0.0453256,0.416983,0.115284,0.0279281,0.0823809
800.3,0.0403339,0.388821,0.0853283,0.0312499,0.00917269
900.1,0.0354648,0.306198,0.103686,0.0353003,0.017756
900.2,0.0425401,0.385023,0.0944664,0.029802,0.00879343
900.3,0.0415121,0.357771,0.0474367,0.0385231,0.00164511
1000.1,0.0578121,0.475195,0.0727109,0.0336659,0.0110065
1000.2,0.0455515,0.337433,0.0879297,0.0367376,0.00840074
1000.3,0.0477883,0.420839,0.0925985,0.0301453,0.00970971
