,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans
30.1,0.0335877,0.129953,0.0446882,0.0167877,0.0928335
30.2,0.0452465,0.192049,0.0288216,0.0285207,0.0177317
30.3,0.00689495,0.0212644,0.000999099,0.0262898,0.000152776
35.1,0.0535922,0.190167,0.0462392,0.0293776,0.0102258
35.2,0.0576309,0.137654,0.0443057,0.0231237,0.00423134
35.3,0.0541091,0.0928403,0.0326079,0.0167439,0.000354287
40.1,0.0159166,0.0243578,0.00702072,0.0326714,0.00308352
40.2,0.0444287,0.104873,0.0371067,0.0264753,0.00728381
40.3,0.0517248,0.120587,0.0141219,0.0240943,0.00190418
45.1,0.0400389,0.133665,0.047644,0.0306707,0.0334483
45.2,0.0208628,0.0787911,0.0362092,0.0258233,0.0277323
45.3,0.014869,0.0598254,0.0025664,0.0308621,6.01264E-05
50.1,0.0255847,0.0924797,0.0323596,0.0206501,0.109366
50.2,0.0155828,0.0574279,0.00376996,0.0322446,0.00129802
50.3,0.0411009,0.122936,0.0168506,0.0345341,0.00193921
100.1,0.033008,0.181743,0.0602025,0.0293494,0.0874712
100.2,0.0133652,0.0258937,0.00424466,0.0395586,0.000710269
100.3,0.0364236,0.175041,0.0121885,0.0339336,0.000706003
200.1,0.0173421,0.0415925,0.011943,0.0350477,0.00107935
200.2,0.0281552,0.178556,0.0642096,0.0321688,0.0389911
200.3,0.0240991,0.149678,0.0278748,0.042386,0.00221691
300.1,0.0294768,0.228545,0.0531622,0.0329255,0.0936011
300.2,0.0326189,0.23604,0.063298,0.0315336,0.0455832
300.3,0.0273533,0.13324,0.0227061,0.0411223,0.00752608
400.1,0.0207602,0.0577729,0.0130736,0.0450581,0.000641705
400.2,0.0379123,0.342961,0.0911048,0.034975,0.00793363
400.3,0.0447709,0.171099,0.0356132,0.0364592,0.00905498
500.1,0.0197676,0.0537369,0.0126255,0.0396166,0.000532297
500.2,0.021941,0.0702909,0.00889877,0.0455905,0.000262142
500.3,0.0170648,0.0486173,0.00326608,0.0486361,3.16175E-05
600.1,0.0209274,0.0834948,0.0131959,0.0424772,0.000545113
600.2,0.0320598,0.246168,0.08522,0.0352739,0.0273401
600.3,0.0136552,0.0524216,0.00304368,0.0492662,3.0704E-05
700.1,0.0368046,0.299285,0.0664211,0.0290135,0.0839534
700.2,0.0215831,0.0585995,0.00770379,0.0487558,0.000195136
700.3,0.0267561,0.354995,0.0274601,0.0398019,0.000553413
800.1,0.0420567,0.453865,0.0960274,0.0312159,0.00907052
800.2,0.036453,0.385961,0.0566479,0.0351605,0.00353789
800.3,0.0411828,0.370535,0.024165,0.037499,0.000754529
900.1,0.0231091,0.0736608,0.0182786,0.0439968,0.000564823
900.2,0.0212884,0.0576148,0.00947233,0.0479162,0.000202992
900.3,0.0168261,0.0603896,0.00384125,0.0459746,4.52703E-05
1000.1,0.0315209,0.282498,0.082148,0.0339916,0.0546306
1000.2,0.0304264,0.256025,0.0566429,0.0349293,0.0193088
1000.3,0.016934,0.063928,0.00483783,0.0454848,4.70467E-05
