Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,3.51,0.40,25.57,7.53,1.1770E+06,2.75,0.87,17.25,6.47,1.1769E+06
30.2,2.04,0.40,30.92,8.27,1.1771E+06,5.40,2.06,23.56,4.37,1.1768E+06
30.3,0.51,0.54,38.58,9.00,1.1772E+06,1.10,0.70,34.49,8.47,1.1771E+06
35.1,2.21,0.41,29.84,6.50,1.1769E+06,3.58,0.83,19.14,6.37,1.1769E+06
35.2,2.31,0.40,35.31,7.50,1.1770E+06,5.57,1.99,24.61,4.73,1.1768E+06
35.3,0.62,0.55,43.30,8.67,1.1771E+06,1.28,0.63,39.91,8.83,1.1771E+06
40.1,4.00,0.42,27.21,6.90,1.1770E+06,2.62,1.30,22.10,5.47,1.1769E+06
40.2,2.41,0.42,34.82,7.07,1.1770E+06,1.67,0.63,36.51,8.00,1.1771E+06
40.3,0.74,0.50,46.87,7.70,1.1770E+06,1.01,0.48,27.97,7.70,1.1770E+06
45.1,3.29,0.40,30.21,6.03,1.1769E+06,2.60,0.46,38.58,7.13,1.1770E+06
45.2,1.85,0.46,39.92,7.00,1.1770E+06,1.65,0.48,29.46,7.20,1.1770E+06
45.3,0.64,0.54,49.57,8.00,1.1771E+06,0.59,0.31,13.54,7.60,1.1770E+06
50.1,4.18,0.46,26.86,6.37,1.1769E+06,2.72,0.52,41.67,7.00,1.1770E+06
50.2,2.46,0.46,38.82,6.73,1.1770E+06,1.73,0.51,34.09,7.00,1.1770E+06
50.3,0.64,0.58,54.52,8.40,1.1771E+06,3.97,2.65,22.70,3.00,1.1767E+06
100.1,6.28,0.61,35.66,4.17,1.1768E+06,11.20,0.44,48.36,5.70,1.1769E+06
100.2,6.75,0.49,56.24,6.67,1.1770E+06,4.55,1.07,23.01,4.30,1.1768E+06
100.3,2.68,0.60,95.20,8.47,1.1771E+06,20.84,3.86,58.44,3.83,1.1767E+06
200.1,22.92,0.68,43.87,4.97,1.1768E+06,21.63,1.50,46.45,2.67,1.1766E+06
200.2,7.46,0.47,100.58,5.57,1.1769E+06,4.84,0.54,63.07,5.33,1.1768E+06
200.3,2.99,0.66,124.54,7.43,1.1770E+06,19.26,3.25,56.49,3.83,1.1767E+06
300.1,36.75,0.74,52.13,4.63,1.1768E+06,19.87,0.48,65.75,3.33,1.1767E+06
300.2,9.79,0.45,112.07,4.07,1.1767E+06,38.77,3.94,96.30,1.27,1.1765E+06
300.3,4.70,0.62,138.74,5.50,1.1769E+06,1.51,0.42,39.89,5.03,1.1768E+06
400.1,34.91,0.73,55.92,2.63,1.1766E+06,20.32,0.58,89.77,1.93,1.1766E+06
400.2,24.62,0.53,102.78,4.37,1.1768E+06,51.28,3.88,108.47,0.90,1.1765E+06
400.3,5.22,0.67,156.07,5.87,1.1769E+06,92.08,4.71,161.54,3.60,1.1767E+06
500.1,31.36,0.60,69.09,2.63,1.1766E+06,87.57,1.32,65.16,3.93,1.1767E+06
500.2,21.76,0.54,115.94,3.20,1.1767E+06,7.51,0.63,102.59,2.70,1.1766E+06
500.3,6.71,0.78,159.32,4.07,1.1767E+06,2.44,0.54,89.55,4.23,1.1768E+06
600.1,18.51,0.59,106.04,1.80,1.1766E+06,58.22,1.05,57.01,2.13,1.1766E+06
600.2,38.64,0.43,115.72,6.30,1.1769E+06,9.99,0.52,79.97,2.47,1.1766E+06
600.3,4.69,0.67,177.79,4.93,1.1768E+06,152.34,4.65,210.39,4.17,1.1768E+06
700.1,18.76,0.63,125.24,3.20,1.1767E+06,91.48,1.49,71.53,1.80,1.1766E+06
700.2,41.65,0.58,109.16,3.20,1.1767E+06,46.85,3.17,87.51,0.57,1.1765E+06
700.3,15.31,0.67,168.71,6.33,1.1769E+06,92.97,3.33,115.60,4.77,1.1768E+06
800.1,42.41,0.56,76.12,2.07,1.1766E+06,131.63,1.50,74.45,2.40,1.1766E+06
800.2,44.63,0.59,120.82,3.67,1.1767E+06,62.27,2.97,90.37,1.10,1.1765E+06
800.3,8.90,0.72,176.02,5.33,1.1768E+06,3.85,0.54,102.64,5.57,1.1769E+06
900.1,111.64,0.64,66.27,4.00,1.1767E+06,51.93,0.58,122.34,2.43,1.1766E+06
900.2,21.40,0.56,139.78,4.17,1.1768E+06,12.98,0.61,107.28,2.77,1.1766E+06
900.3,4.57,0.74,184.52,3.53,1.1767E+06,3.79,0.54,93.66,3.60,1.1767E+06
1000.1,21.15,0.61,131.37,1.73,1.1765E+06,91.48,0.70,63.13,2.43,1.1766E+06
1000.2,20.00,0.51,135.86,1.80,1.1766E+06,13.46,0.49,108.55,3.03,1.1767E+06
1000.3,22.45,0.72,173.94,5.63,1.1769E+06,421.17,6.25,372.97,3.70,1.1767E+06
,,,,,1.17685E+06,,,,,1.17676E+06
