Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,414.80,53.93 %,0.19,0.96,420.85,1.46,0.33,0.41,418.20,0.82,1056.30,53.93 %,0.43,0.98,1081.40,2.38,0.35,0.42,1081.95,2.43
30.2,376.00,48.56 %,0.17,0.97,387.40,3.03,0.26,0.41,378.20,0.59,1295.80,48.56 %,0.77,0.98,1309.80,1.08,0.33,0.42,1310.10,1.10
30.3,216.40,21.35 %,0.01,0.95,216.40,0.00,0.00,0.41,216.40,0.00,757.60,21.35 %,0.05,0.97,609.40,-19.56,0.09,0.40,609.40,-19.56
35.1,451.30,53.00 %,0.35,1.08,461.65,2.29,0.44,0.49,460.80,2.11,1253.80,53.00 %,0.50,1.08,1246.10,-0.61,0.40,0.50,1245.80,-0.64
35.2,412.00,45.44 %,0.21,1.08,420.30,2.01,0.39,0.49,414.00,0.49,1498.20,45.44 %,0.92,1.10,1523.90,1.72,0.40,0.50,1509.40,0.75
35.3,273.60,32.89 %,0.12,1.10,273.00,-0.22,0.02,0.49,273.00,-0.22,703.80,32.89 %,0.01,1.07,696.20,-1.08,0.01,0.48,696.20,-1.08
40.1,679.60,52.50 %,0.33,1.23,678.40,-0.18,0.47,0.56,668.10,-1.69,1520.60,52.50 %,0.76,1.24,1490.60,-1.97,0.35,0.57,1483.20,-2.46
40.2,652.80,42.62 %,0.33,1.20,645.00,-1.19,0.47,0.55,637.80,-2.30,736.80,42.62 %,0.16,1.20,652.10,-11.50,0.39,0.55,649.20,-11.89
40.3,306.40,33.98 %,0.18,1.21,307.80,0.46,0.38,0.55,305.30,-0.36,1364.20,33.98 %,0.17,1.24,1109.70,-18.66,0.43,0.57,1109.60,-18.66
45.1,748.00,53.10 %,0.61,1.39,746.60,-0.19,0.58,0.66,744.90,-0.41,891.40,53.10 %,0.35,1.38,599.20,-32.78,0.52,0.65,597.70,-32.95
45.2,701.40,43.37 %,0.39,1.38,699.70,-0.24,0.43,0.65,686.90,-2.07,1080.90,43.37 %,0.27,1.37,1052.40,-2.64,0.53,0.65,1046.40,-3.19
45.3,333.80,31.94 %,0.16,1.37,336.60,0.84,0.39,0.64,334.70,0.27,1889.80,31.94 %,0.22,1.40,1642.80,-13.07,0.52,0.67,1643.20,-13.05
50.1,1186.40,51.53 %,0.65,1.51,1136.60,-4.20,0.67,0.75,1127.00,-5.01,669.80,51.53 %,0.37,1.50,643.00,-4.00,0.58,0.74,639.70,-4.49
