Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,4.31,0.49,17.48,7.20,1.1770E+06,6.16,1.07,21.94,5.00,1.1768E+06
30.2,0.27,0.33,20.81,8.77,1.1771E+06,0.23,0.24,14.07,8.97,1.1772E+06
30.3,0.43,0.51,35.75,9.00,1.1772E+06,0.33,0.40,24.95,8.63,1.1771E+06
35.1,0.43,0.26,15.78,8.87,1.1771E+06,7.84,1.14,24.30,4.73,1.1768E+06
35.2,0.40,0.38,24.62,8.40,1.1771E+06,0.36,0.23,15.05,8.40,1.1771E+06
35.3,0.74,0.48,40.63,8.90,1.1771E+06,0.30,0.45,28.12,9.00,1.1772E+06
40.1,0.31,0.23,17.16,8.37,1.1771E+06,0.79,0.16,11.28,8.77,1.1771E+06
40.2,0.50,0.35,26.40,7.70,1.1770E+06,0.67,0.27,18.15,8.20,1.1771E+06
40.3,0.85,0.61,46.55,7.77,1.1770E+06,0.77,0.46,26.23,8.40,1.1771E+06
45.1,0.59,0.26,19.79,8.53,1.1771E+06,0.95,0.17,12.89,7.70,1.1770E+06
45.2,2.92,0.41,30.80,7.27,1.1770E+06,0.99,0.27,18.83,7.70,1.1770E+06
45.3,0.76,0.55,46.81,7.93,1.1771E+06,0.45,0.36,27.11,8.03,1.1771E+06
50.1,7.66,0.33,21.78,7.10,1.1770E+06,1.62,0.19,14.51,7.10,1.1770E+06
50.2,3.32,0.47,33.21,6.30,1.1769E+06,3.60,0.33,15.49,6.43,1.1769E+06
50.3,0.47,0.59,52.99,8.63,1.1771E+06,10.28,2.89,30.20,3.73,1.1767E+06
100.1,2.28,0.24,31.52,6.30,1.1769E+06,4.67,0.21,21.75,6.63,1.1770E+06
100.2,8.82,0.44,50.04,7.37,1.1770E+06,6.97,0.31,23.96,5.73,1.1769E+06
100.3,1.54,0.53,82.48,6.13,1.1769E+06,12.92,3.30,43.21,2.27,1.1766E+06
200.1,5.92,0.27,44.32,6.80,1.1770E+06,26.05,0.37,31.18,3.07,1.1767E+06
200.2,14.33,0.47,72.30,5.00,1.1768E+06,1.72,0.26,48.07,8.33,1.1771E+06
200.3,0.43,0.62,117.24,8.87,1.1771E+06,3.64,0.49,67.94,6.67,1.1770E+06
300.1,2.23,0.27,51.87,7.47,1.1770E+06,13.79,0.19,35.26,5.90,1.1769E+06
300.2,26.50,0.51,80.85,4.37,1.1768E+06,6.49,0.33,54.61,5.63,1.1769E+06
300.3,6.43,0.61,133.60,6.93,1.1770E+06,0.56,0.53,103.54,8.37,1.1771E+06
400.1,43.38,0.60,55.73,2.60,1.1766E+06,17.22,0.24,38.20,3.80,1.1767E+06
400.2,1.62,0.39,91.08,8.97,1.1772E+06,36.05,0.28,41.83,5.53,1.1769E+06
400.3,1.40,0.61,150.01,8.57,1.1771E+06,15.45,4.95,90.90,0.50,1.1764E+06
500.1,70.71,0.62,60.71,3.20,1.1767E+06,134.43,1.21,95.88,2.67,1.1766E+06
500.2,30.03,0.51,94.97,2.90,1.1766E+06,33.88,0.31,44.02,3.63,1.1767E+06
500.3,1.30,0.61,154.01,7.97,1.1771E+06,0.89,0.51,117.39,8.97,1.1772E+06
600.1,62.34,0.62,62.66,1.83,1.1766E+06,30.60,0.22,41.88,6.77,1.1770E+06
600.2,75.18,0.44,95.30,6.93,1.1770E+06,29.46,0.35,46.82,2.17,1.1766E+06
600.3,0.71,0.61,157.34,9.00,1.1772E+06,12.37,5.46,110.43,0.27,1.1764E+06
700.1,74.11,0.66,64.27,1.90,1.1766E+06,18.12,0.23,44.16,6.77,1.1770E+06
700.2,49.55,0.47,99.31,3.70,1.1767E+06,6.04,0.26,67.70,8.30,1.1771E+06
700.3,2.12,0.55,159.84,8.87,1.1771E+06,1.62,0.49,123.31,8.97,1.1772E+06
800.1,6.33,0.26,64.15,9.00,1.1772E+06,93.33,0.39,48.67,1.67,1.1765E+06
800.2,3.38,0.43,102.96,9.00,1.1772E+06,7.50,0.28,69.87,8.97,1.1772E+06
800.3,15.45,0.76,163.19,3.67,1.1767E+06,23.99,5.76,135.08,0.30,1.1764E+06
900.1,35.22,0.25,65.78,7.83,1.1771E+06,21.25,0.19,45.78,8.73,1.1771E+06
900.2,75.17,0.50,104.40,3.47,1.1767E+06,59.26,0.31,51.01,3.10,1.1767E+06
900.3,20.39,0.66,166.45,5.20,1.1768E+06,22.43,0.45,98.62,6.13,1.1769E+06
1000.1,32.01,0.26,67.86,7.40,1.1770E+06,56.90,0.22,46.44,6.57,1.1770E+06
1000.2,3.91,0.42,105.69,9.00,1.1772E+06,91.35,0.33,52.32,4.77,1.1768E+06
1000.3,24.43,0.68,170.73,4.57,1.1768E+06,21.09,6.02,151.30,0.13,1.1764E+06
,,,,,1.17696E+06,,,,,1.17688E+06
