Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,1.83,0.33,15.08,6.90,1.1770E+06,5.32,0.45,15.63,7.23,1.1770E+06
30.2,2.68,0.38,22.03,7.70,1.1770E+06,0.81,0.30,20.99,8.93,1.1771E+06
30.3,0.44,0.54,36.45,8.97,1.1772E+06,0.43,0.48,35.56,8.50,1.1771E+06
35.1,6.64,0.41,20.00,8.60,1.1771E+06,6.37,0.41,15.60,8.23,1.1771E+06
35.2,0.38,0.38,24.94,7.60,1.1770E+06,0.70,0.29,22.16,8.17,1.1771E+06
35.3,0.48,0.56,40.05,8.47,1.1771E+06,0.47,0.51,39.39,9.00,1.1772E+06
40.1,0.87,0.29,17.90,7.60,1.1770E+06,1.25,0.23,14.91,8.33,1.1771E+06
40.2,2.50,0.38,27.14,8.87,1.1771E+06,2.49,0.33,26.88,8.57,1.1771E+06
40.3,0.71,0.57,46.20,8.33,1.1771E+06,0.68,0.56,46.13,8.93,1.1771E+06
45.1,0.49,0.26,19.25,8.47,1.1771E+06,1.84,0.21,17.03,7.53,1.1770E+06
45.2,1.84,0.39,31.33,8.93,1.1771E+06,2.02,0.36,28.82,6.73,1.1770E+06
45.3,0.70,0.63,48.70,8.27,1.1771E+06,0.47,0.53,48.14,8.83,1.1771E+06
50.1,2.27,0.32,21.59,7.87,1.1771E+06,2.83,0.31,19.88,6.33,1.1769E+06
50.2,4.22,0.47,33.24,7.13,1.1770E+06,4.91,0.37,31.13,7.20,1.1770E+06
50.3,0.46,0.64,54.64,8.80,1.1771E+06,0.47,0.57,52.15,8.07,1.1771E+06
100.1,3.34,0.35,32.78,5.13,1.1768E+06,14.92,0.46,29.63,6.73,1.1770E+06
100.2,1.09,0.41,52.08,7.63,1.1770E+06,2.90,0.32,49.05,8.77,1.1771E+06
100.3,0.92,0.57,85.83,7.63,1.1770E+06,1.99,0.54,81.82,7.77,1.1770E+06
200.1,2.35,0.30,47.12,6.77,1.1770E+06,27.50,0.47,37.67,4.63,1.1768E+06
200.2,14.00,0.48,70.65,4.37,1.1768E+06,9.13,0.37,66.48,5.20,1.1768E+06
200.3,1.94,0.57,115.41,7.40,1.1770E+06,0.64,0.55,116.28,8.30,1.1771E+06
300.1,41.77,0.54,55.09,4.07,1.1767E+06,49.21,0.49,41.76,4.93,1.1768E+06
300.2,30.39,0.50,80.85,5.67,1.1769E+06,27.36,0.41,69.15,4.57,1.1768E+06
300.3,6.06,0.58,134.19,6.50,1.1769E+06,4.97,0.62,134.61,7.37,1.1770E+06
400.1,31.70,0.37,60.83,5.90,1.1769E+06,51.83,0.48,45.77,3.93,1.1767E+06
400.2,1.88,0.44,89.29,8.17,1.1771E+06,15.25,0.43,85.54,3.20,1.1767E+06
400.3,3.11,0.58,144.86,8.33,1.1771E+06,5.78,0.75,144.64,3.83,1.1767E+06
500.1,6.27,0.31,61.15,4.63,1.1768E+06,24.89,0.36,48.12,1.57,1.1765E+06
500.2,11.68,0.48,94.66,3.43,1.1767E+06,10.38,0.48,91.57,1.33,1.1765E+06
500.3,4.30,0.67,157.04,8.27,1.1771E+06,7.50,0.61,150.32,6.57,1.1770E+06
600.1,38.19,0.36,64.76,4.40,1.1768E+06,36.93,0.25,51.63,6.00,1.1769E+06
600.2,12.71,0.54,99.39,2.73,1.1766E+06,13.10,0.34,92.24,4.33,1.1768E+06
600.3,1.37,0.56,154.10,8.97,1.1772E+06,17.42,0.63,157.83,6.80,1.1770E+06
700.1,53.39,0.35,67.50,5.03,1.1768E+06,87.33,0.52,48.82,2.90,1.1766E+06
700.2,19.42,0.51,102.22,3.93,1.1767E+06,63.71,0.45,75.07,4.87,1.1768E+06
700.3,1.60,0.57,163.49,8.80,1.1771E+06,12.89,0.60,160.01,6.67,1.1770E+06
800.1,8.99,0.34,69.33,4.57,1.1768E+06,37.01,0.26,53.35,4.43,1.1768E+06
800.2,71.10,0.57,100.71,4.10,1.1767E+06,61.68,0.46,73.31,3.67,1.1767E+06
800.3,8.41,0.69,168.53,8.10,1.1771E+06,13.14,0.65,165.71,6.90,1.1770E+06
900.1,14.15,0.32,69.40,7.70,1.1770E+06,71.29,0.36,54.59,3.20,1.1767E+06
900.2,5.08,0.41,105.38,8.53,1.1771E+06,31.92,0.45,98.38,2.00,1.1766E+06
900.3,17.21,0.66,169.90,3.83,1.1767E+06,5.21,0.61,166.66,6.77,1.1770E+06
1000.1,152.70,0.54,73.36,3.73,1.1767E+06,120.45,0.48,54.28,2.63,1.1766E+06
1000.2,26.05,0.58,105.63,1.00,1.1765E+06,27.45,0.40,100.07,5.93,1.1769E+06
1000.3,9.93,0.69,167.95,2.20,1.1766E+06,6.39,0.57,165.93,8.20,1.1771E+06
,,,,,1.17694E+06,,,,,1.17691E+06
