Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.30,1.14,0.39,0.69,0.29,5.3277E+05,0.36,1.20,0.44,0.90,1.26,5.3447E+05
30.2,0.27,0.66,0.26,0.30,0.03,5.3343E+05,0.22,0.60,0.09,0.53,0.04,5.3447E+05
30.3,0.04,0.09,0.01,0.05,0.00,5.3592E+05,0.03,0.08,0.02,0.06,0.00,5.3272E+05
35.1,0.35,1.72,0.38,1.81,0.80,5.3225E+05,0.42,1.44,0.59,2.22,1.28,5.3688E+05
35.2,0.20,0.58,0.12,0.31,0.01,5.3453E+05,0.33,0.80,0.22,0.70,0.05,5.3403E+05
35.3,0.06,0.12,0.01,0.05,0.00,5.3499E+05,0.03,0.09,0.01,0.05,0.00,5.3427E+05
40.1,0.36,1.22,0.37,1.08,0.11,5.3383E+05,0.59,1.76,0.42,2.07,0.39,5.3548E+05
40.2,0.21,0.52,0.17,0.60,0.06,5.3464E+05,0.38,1.10,0.29,1.12,0.17,5.3363E+05
40.3,0.05,0.19,0.03,0.07,0.00,5.3459E+05,0.08,0.22,0.04,0.11,0.00,5.3309E+05
45.1,0.29,0.69,0.16,1.15,0.07,5.3677E+05,0.74,2.79,0.85,1.67,0.44,5.3490E+05
45.2,0.26,0.62,0.14,0.71,0.06,5.3291E+05,0.40,1.30,0.46,0.72,0.09,5.3432E+05
45.3,0.10,0.19,0.04,0.11,0.00,5.3502E+05,0.06,0.26,0.01,0.17,0.00,5.3375E+05
50.1,0.41,0.90,0.34,1.72,0.33,5.3535E+05,0.66,2.48,0.81,1.72,0.95,5.3181E+05
50.2,0.36,0.86,0.31,0.88,0.27,5.3489E+05,0.63,1.62,0.52,1.02,0.32,5.3524E+05
50.3,0.02,0.06,0.01,0.09,0.00,5.3633E+05,0.11,0.34,0.05,0.15,0.00,5.3208E+05
100.1,0.89,3.26,1.04,4.31,0.67,5.3443E+05,1.11,4.96,1.41,6.54,2.95,5.3511E+05
100.2,0.41,1.50,0.23,1.90,0.01,5.3211E+05,0.84,3.08,0.75,2.94,0.04,5.3599E+05
100.3,0.20,0.67,0.06,0.27,0.00,5.3415E+05,0.17,0.59,0.08,0.55,0.01,5.3209E+05
200.1,1.71,7.37,1.30,7.36,0.05,5.3660E+05,2.50,10.79,4.49,14.56,3.44,5.3481E+05
200.2,1.93,4.81,1.12,5.90,0.88,5.3557E+05,1.75,5.93,2.02,6.22,0.14,5.3287E+05
200.3,0.25,0.62,0.11,0.96,0.00,5.3425E+05,0.39,1.22,0.11,1.42,0.00,5.3492E+05
300.1,3.64,12.00,3.66,18.53,2.06,5.3502E+05,5.47,20.23,7.60,24.61,3.51,5.3553E+05
300.2,2.55,11.41,2.08,10.96,0.65,5.3488E+05,3.13,14.35,4.72,10.29,0.86,5.3341E+05
