Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.84,2.14,0.69,1.12,0.88,5.3011E+05,0.47,2.10,0.71,1.92,0.42,5.3231E+05
30.2,0.72,1.59,0.65,0.42,0.29,5.3750E+05,0.16,1.17,0.38,1.75,0.16,5.3579E+05
30.3,0.02,0.06,0.00,0.05,0.00,5.3496E+05,0.08,0.75,0.34,0.86,0.11,5.3475E+05
35.1,0.65,2.62,0.73,1.38,0.72,5.3277E+05,0.35,2.59,0.91,1.53,0.50,5.3385E+05
35.2,0.97,2.11,0.77,0.26,0.51,5.3459E+05,0.25,1.77,0.74,1.99,0.21,5.3440E+05
35.3,0.11,0.37,0.09,0.15,0.00,5.3453E+05,0.09,0.78,0.27,1.03,0.08,5.3371E+05
40.1,1.33,3.57,1.27,1.18,1.91,5.3197E+05,0.37,2.70,1.35,1.66,1.04,5.3280E+05
40.2,1.03,2.33,0.87,0.85,0.69,5.3642E+05,0.32,2.34,1.07,1.44,0.77,5.3209E+05
40.3,0.05,0.18,0.01,0.11,0.00,5.3167E+05,3.19,2.40,2.24,0.18,7.03,5.3178E+05
45.1,1.75,4.65,1.25,1.80,2.24,5.3315E+05,0.49,3.61,1.57,1.59,1.40,5.3564E+05
45.2,1.12,2.33,0.68,1.24,0.44,5.3714E+05,0.45,2.72,1.20,1.39,1.33,5.3531E+05
45.3,0.04,0.13,0.01,0.09,0.00,5.3278E+05,3.29,2.54,2.35,0.26,7.95,5.3385E+05
50.1,1.63,5.06,1.71,2.45,3.83,5.3413E+05,0.84,4.03,1.87,1.98,1.94,5.3572E+05
50.2,0.48,1.90,0.42,0.78,0.05,5.3172E+05,1.17,2.65,1.46,1.03,4.96,5.3308E+05
50.3,0.09,0.38,0.06,0.14,0.00,5.3356E+05,8.90,6.00,5.08,0.27,17.83,5.3470E+05
100.1,3.50,11.81,4.06,5.13,5.00,5.3249E+05,2.85,12.32,5.06,4.88,7.31,5.3500E+05
100.2,0.65,3.55,0.95,1.37,0.09,5.3193E+05,7.55,10.12,6.71,3.22,20.89,5.3747E+05
100.3,0.16,0.77,0.06,0.39,0.00,5.3242E+05,27.73,18.95,17.10,0.62,57.40,5.3434E+05
200.1,1.15,14.22,3.96,4.77,0.48,5.3474E+05,17.40,39.21,22.99,11.45,24.36,5.3359E+05
200.2,1.85,9.03,1.92,2.84,0.23,5.3487E+05,0.90,11.13,4.98,8.94,0.20,5.3590E+05
200.3,1.32,3.02,0.61,1.10,0.04,5.3525E+05,0.33,5.12,2.01,5.96,0.02,5.3677E+05
300.1,7.20,25.83,9.65,14.51,1.96,5.3255E+05,17.79,56.50,28.76,18.82,18.91,5.3679E+05
300.2,7.07,24.51,10.56,10.16,1.69,5.3409E+05,1.02,16.97,6.95,12.60,0.22,5.3340E+05
300.3,0.93,3.67,0.51,1.18,0.01,5.3484E+05,0.40,7.74,2.68,8.75,0.02,5.3345E+05
400.1,11.82,41.51,17.29,22.06,2.70,5.3600E+05,5.42,65.82,25.28,18.97,2.65,5.3546E+05
400.2,4.88,21.08,5.09,8.15,0.28,5.3100E+05,1.52,23.46,9.25,15.70,0.22,5.3468E+05
400.3,2.90,9.30,2.75,4.61,0.05,5.3393E+05,39.46,27.29,27.70,2.08,66.97,5.3667E+05
500.1,3.89,42.24,9.61,9.94,0.45,5.3200E+05,7.85,82.63,32.76,22.11,2.60,5.3441E+05
500.2,11.19,40.04,16.78,19.96,1.44,5.3445E+05,2.80,42.03,17.10,24.97,0.31,5.3506E+05
500.3,2.86,9.09,2.17,4.12,0.03,5.3432E+05,0.64,9.71,4.01,10.63,0.06,5.3170E+05
