Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,770.00,28.83 %,0.21,0.75,795.25,3.28,0.26,0.31,788.25,2.37,997.50,35.79 %,0.30,0.75,1012.50,1.50,0.24,0.32,1003.75,0.63
30.2,644.00,29.09 %,0.07,0.73,649.00,0.78,0.21,0.31,647.50,0.54,1205.67,42.16 %,0.21,0.76,1188.33,-1.44,0.27,0.32,1182.33,-1.94
30.3,279.00,16.58 %,0.00,0.73,279.00,0.00,0.00,0.30,279.00,0.00,896.75,37.75 %,0.06,0.74,896.00,-0.08,0.06,0.31,896.00,-0.08
35.1,871.00,29.45 %,0.14,0.84,906.75,4.10,0.28,0.37,890.50,2.24,1088.50,34.13 %,0.22,0.84,1089.25,0.07,0.29,0.37,1085.75,-0.25
35.2,731.67,29.11 %,0.13,0.82,739.00,1.00,0.28,0.36,735.33,0.50,1404.33,43.01 %,0.31,0.85,1404.00,-0.02,0.29,0.38,1394.50,-0.70
35.3,318.50,21.35 %,0.01,0.84,318.75,0.08,0.03,0.36,318.50,0.00,1034.75,40.49 %,0.00,0.84,1028.00,-0.65,0.00,0.36,1028.00,-0.65
40.1,965.33,33.39 %,0.43,0.90,987.00,2.24,0.32,0.41,965.00,-0.03,1312.00,39.13 %,0.27,0.92,1279.00,-2.52,0.34,0.42,1274.50,-2.86
40.2,814.25,31.78 %,0.01,0.89,810.00,-0.52,0.16,0.40,807.50,-0.83,1432.75,41.77 %,0.16,0.92,1416.88,-1.11,0.37,0.42,1412.00,-1.45
40.3,349.00,20.06 %,0.10,0.90,348.75,-0.07,0.24,0.41,348.50,-0.14,1848.00,46.46 %,0.78,0.95,1869.00,1.14,0.40,0.44,1881.50,1.81
45.1,1005.67,31.72 %,0.01,1.03,1016.67,1.09,0.19,0.48,1007.67,0.20,1483.67,39.99 %,0.34,1.05,1458.00,-1.73,0.43,0.50,1455.50,-1.90
45.2,848.00,31.63 %,0.15,1.04,853.75,0.68,0.37,0.48,848.50,0.06,1614.75,43.43 %,0.19,1.04,1589.25,-1.58,0.24,0.49,1587.50,-1.69
45.3,392.50,21.40 %,0.01,1.04,393.00,0.13,0.01,0.48,393.00,0.13,2085.50,46.58 %,0.93,1.09,2113.00,1.32,0.49,0.52,2125.75,1.93
50.1,1193.25,34.65 %,0.53,1.13,1210.25,1.42,0.51,0.54,1193.12,-0.01,1564.75,39.59 %,0.28,1.12,1534.75,-1.92,0.42,0.54,1527.38,-2.39
50.2,958.00,30.43 %,0.09,1.12,949.50,-0.89,0.37,0.53,942.50,-1.62,1988.00,43.69 %,0.91,1.15,2027.00,1.96,0.50,0.57,2002.00,0.70
50.3,425.33,28.68 %,0.11,1.13,424.67,-0.16,0.28,0.53,423.33,-0.47,1887.00,47.15 %,0.13,1.14,1852.00,-1.85,0.41,0.55,1848.66,-2.03
100.1,2071.25,75.05 %,0.92,2.33,2093.38,1.07,1.17,1.23,2060.00,-0.54,2967.25,75.84 %,0.95,2.36,2885.25,-2.76,1.15,1.26,2874.62,-3.12
100.2,1745.00,49.66 %,0.76,2.30,1681.00,-3.67,1.12,1.28,1667.75,-4.43,3906.00,71.49 %,1.29,2.32,3884.16,-0.56,1.23,1.33,3823.16,-2.12
100.3,750.67,59.41 %,0.68,2.32,731.00,-2.62,1.02,1.23,727.33,-3.11,3517.50,73.71 %,0.31,2.35,2928.50,-16.74,1.02,1.26,2926.25,-16.81
200.1,3863.00,75.98 %,1.79,5.29,3626.50,-6.12,2.78,3.21,3622.75,-6.22,7205.25,90.27 %,2.34,5.32,5457.50,-24.26,2.85,3.21,5444.62,-24.44
200.2,10078.00,96.23 %,0.17,5.34,2820.75,-72.01,2.62,3.08,2815.75,-72.06,10178.00,81.17 %,5.02,5.27,7991.75,-21.48,3.08,3.43,7811.25,-23.25
200.3,1377.00,76.76 %,2.91,5.33,1227.25,-10.88,2.69,3.22,1210.00,-12.13,8525.50,86.30 %,1.45,5.34,5727.25,-32.82,2.70,3.17,5724.00,-32.86
300.1,5577.00,99.61 %,4.29,9.00,4904.75,-12.05,5.09,5.74,4886.75,-12.38,8474.99,90.72 %,6.97,9.01,7946.49,-6.24,5.63,5.99,7858.99,-7.27
300.2,16622.00,—,5.06,9.04,3999.00,-75.94,5.10,5.83,3977.25,-76.07,17180.00,92.32 %,7.06,9.12,11293.30,-34.26,5.02,6.14,11141.30,-35.15
300.3,17002.00,99.98 %,0.36,9.12,1576.25,-90.73,3.19,5.50,1575.25,-90.73,15322.50,93.80 %,8.84,9.04,14490.80,-5.43,5.76,6.42,14485.80,-5.46
400.1,20091.00,—,1.85,11.75,6203.00,-69.13,8.59,9.09,6181.38,-69.23,21561.00,—,10.01,11.33,10514.50,-51.23,8.23,9.54,10390.80,-51.81
400.2,19732.00,—,1.64,11.80,4968.50,-74.82,6.07,8.94,4967.50,-74.83,19764.00,—,9.30,11.57,14966.50,-24.27,7.65,9.55,14734.00,-25.45
