Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,OWA,Gap-solver,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana,Tempo mediano para atingir o ótimo,Tempo Médio total,OWA mediano,Desvio percentual da solução mediana
30.1,557.00,82.05 %,0.18,0.74,564.00,1.26,0.20,0.31,560.00,0.54,928.67,82.66 %,0.22,0.74,750.83,-19.15,0.24,0.32,741.67,-20.14
30.2,538.33,52.14 %,0.06,0.73,547.00,1.61,0.19,0.30,541.33,0.56,567.00,80.60 %,0.03,0.73,558.00,-1.59,0.02,0.31,558.00,-1.59
30.3,255.00,69.02 %,0.05,0.73,255.00,0.00,0.08,0.30,255.00,0.00,266.00,67.04 %,0.05,0.73,266.33,0.12,0.10,0.30,266.00,0.00
35.1,662.00,86.25 %,0.15,0.84,673.50,1.74,0.25,0.36,660.50,-0.23,779.00,89.86 %,0.07,0.82,732.00,-6.03,0.10,0.35,732.00,-6.03
35.2,633.67,63.76 %,0.33,0.81,636.34,0.42,0.23,0.35,631.00,-0.42,764.00,85.56 %,0.14,0.83,748.00,-2.09,0.27,0.36,740.67,-3.05
35.3,302.33,84.34 %,0.01,0.84,302.33,-0.00,0.00,0.36,302.33,-0.00,283.00,78.09 %,0.01,0.83,283.00,0.00,0.00,0.36,283.00,0.00
40.1,860.67,51.70 %,0.10,0.90,832.67,-3.25,0.21,0.42,831.00,-3.45,855.00,93.45 %,0.08,0.89,741.00,-13.33,0.14,0.40,737.00,-13.80
40.2,650.00,90.15 %,0.09,0.89,664.00,2.15,0.21,0.40,663.00,2.00,737.33,85.62 %,0.31,0.90,741.67,0.59,0.31,0.40,737.17,-0.02
40.3,332.00,80.22 %,0.09,0.90,331.84,-0.05,0.23,0.40,331.67,-0.10,334.00,84.73 %,0.05,0.90,331.00,-0.90,0.19,0.41,328.00,-1.80
45.1,862.00,87.70 %,0.16,1.02,860.33,-0.19,0.21,0.49,854.00,-0.93,1 153.33,93.03 %,0.63,1.02,1140.67,-1.10,0.46,0.50,1132.84,-1.78
45.2,672.00,91.67 %,0.36,1.02,682.50,1.56,0.34,0.50,667.00,-0.74,784.00,90.56 %,0.14,1.03,766.50,-2.23,0.31,0.49,763.00,-2.68
45.3,368.00,90.22 %,0.09,1.03,369.67,0.45,0.29,0.48,368.00,0.00,412.33,87.55 %,0.04,1.03,410.00,-0.57,0.29,0.47,408.67,-0.89
