Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.70,0.26,14.56,7.37,1.1770E+06,1.14,0.23,10.51,7.60,1.1770E+06
30.2,2.43,0.40,22.26,7.77,1.1770E+06,1.30,0.22,10.37,8.00,1.1771E+06
30.3,0.64,0.48,35.10,8.87,1.1771E+06,0.53,0.35,15.53,7.70,1.1770E+06
35.1,1.43,0.26,16.65,7.93,1.1771E+06,1.75,0.20,11.06,7.63,1.1770E+06
35.2,3.96,0.39,24.54,7.17,1.1770E+06,2.71,0.31,9.48,6.93,1.1770E+06
35.3,0.47,0.54,41.51,9.00,1.1772E+06,9.28,2.56,26.28,4.53,1.1768E+06
40.1,7.14,0.35,19.80,7.63,1.1770E+06,3.10,0.24,12.31,7.10,1.1770E+06
40.2,3.25,0.48,28.41,6.80,1.1770E+06,2.29,0.33,10.72,7.07,1.1770E+06
40.3,0.48,0.55,44.29,9.00,1.1772E+06,10.31,2.39,25.93,4.57,1.1768E+06
45.1,7.13,0.58,23.25,6.87,1.1770E+06,9.83,0.48,17.78,5.47,1.1769E+06
45.2,0.31,0.35,29.45,8.83,1.1771E+06,8.93,1.76,27.40,3.37,1.1767E+06
45.3,0.51,0.57,47.16,8.67,1.1771E+06,0.36,0.47,34.58,8.97,1.1772E+06
50.1,9.99,0.58,26.62,7.23,1.1770E+06,15.08,0.94,28.31,5.50,1.1769E+06
50.2,0.38,0.45,32.95,7.83,1.1771E+06,0.63,0.26,20.43,8.60,1.1771E+06
50.3,0.66,0.60,52.35,7.80,1.1770E+06,0.29,0.46,33.99,8.10,1.1771E+06
100.1,15.21,0.39,38.32,5.23,1.1768E+06,5.51,0.26,23.23,4.00,1.1767E+06
100.2,7.70,0.48,51.15,6.03,1.1769E+06,9.79,2.30,45.42,1.20,1.1765E+06
100.3,0.43,0.63,83.60,8.70,1.1771E+06,0.30,0.45,56.62,8.30,1.1771E+06
200.1,8.94,0.32,48.68,5.77,1.1769E+06,32.36,0.42,37.95,2.70,1.1766E+06
200.2,19.64,0.51,71.59,5.77,1.1769E+06,2.20,0.31,43.89,7.07,1.1770E+06
200.3,0.61,0.62,117.38,8.73,1.1771E+06,4.23,0.46,55.64,6.30,1.1769E+06
300.1,2.99,0.30,57.29,8.60,1.1771E+06,9.22,0.21,38.80,7.87,1.1771E+06
300.2,24.08,0.46,83.04,4.07,1.1767E+06,20.93,0.31,29.58,3.63,1.1767E+06
300.3,1.54,0.59,134.16,8.47,1.1771E+06,2.39,0.53,86.88,8.00,1.1771E+06
400.1,61.96,0.60,58.91,3.93,1.1767E+06,13.24,0.21,41.73,6.53,1.1769E+06
400.2,1.90,0.41,92.77,8.87,1.1771E+06,3.44,0.32,55.36,7.57,1.1770E+06
400.3,0.61,0.54,147.30,9.00,1.1772E+06,1.13,0.51,103.74,8.63,1.1771E+06
500.1,4.41,0.30,65.52,7.63,1.1770E+06,36.02,0.26,43.96,4.83,1.1768E+06
500.2,12.62,0.44,96.60,6.90,1.1770E+06,54.79,0.32,36.10,6.07,1.1769E+06
500.3,11.93,0.68,151.72,5.13,1.1768E+06,26.65,4.97,104.27,0.67,1.1765E+06
600.1,31.50,0.32,68.01,7.23,1.1770E+06,158.09,1.03,87.90,1.80,1.1766E+06
600.2,3.43,0.39,99.71,8.97,1.1772E+06,43.01,0.29,36.87,3.13,1.1767E+06
600.3,1.24,0.59,157.74,9.00,1.1772E+06,15.17,0.45,76.14,6.13,1.1769E+06
700.1,39.61,0.32,68.94,7.47,1.1770E+06,96.74,0.39,52.90,1.40,1.1765E+06
700.2,52.78,0.52,103.65,2.73,1.1766E+06,9.63,0.27,61.07,8.40,1.1771E+06
700.3,1.28,0.61,163.50,9.00,1.1772E+06,5.47,0.50,107.05,8.47,1.1771E+06
800.1,124.15,0.57,73.10,3.63,1.1767E+06,74.77,0.25,48.27,6.53,1.1769E+06
800.2,3.66,0.37,104.48,9.00,1.1772E+06,24.03,0.34,58.44,4.50,1.1768E+06
800.3,1.50,0.58,171.22,9.00,1.1772E+06,19.91,0.51,80.78,5.97,1.1769E+06
900.1,108.84,0.45,74.52,2.60,1.1766E+06,233.85,0.99,99.32,1.43,1.1765E+06
900.2,4.09,0.46,106.15,9.00,1.1772E+06,57.48,0.35,42.29,2.60,1.1766E+06
900.3,26.68,0.69,168.39,5.63,1.1769E+06,8.56,0.50,110.48,8.60,1.1771E+06
1000.1,63.80,0.29,74.10,8.57,1.1771E+06,119.23,0.42,57.11,0.97,1.1765E+06
1000.2,4.88,0.44,107.88,9.00,1.1772E+06,50.84,0.38,42.31,2.00,1.1766E+06
1000.3,23.21,0.75,168.63,3.57,1.1767E+06,27.88,0.45,83.06,6.67,1.1770E+06
,,,,,,,,,,
