Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.51,1.32,0.33,0.71,0.12,5.3483E+05,0.37,1.33,0.46,0.76,0.39,5.3889E+05
30.2,0.42,0.91,0.22,0.43,0.06,5.3428E+05,0.22,0.92,0.40,0.36,0.16,5.3455E+05
30.3,0.04,0.12,0.04,0.06,0.00,5.3360E+05,0.08,0.24,0.07,0.07,0.01,5.3358E+05
35.1,0.48,1.79,0.44,0.78,0.26,5.3515E+05,0.56,2.31,0.68,1.09,0.57,5.3605E+05
35.2,0.86,2.26,0.86,0.39,0.79,5.3759E+05,0.43,1.47,0.55,0.42,0.39,5.3423E+05
35.3,0.01,0.02,0.00,0.04,0.00,5.3485E+05,1.17,0.41,0.37,0.02,4.46,5.3509E+05
40.1,0.85,3.05,1.05,1.55,1.47,5.3796E+05,0.83,3.17,1.01,1.54,0.94,5.3414E+05
40.2,1.24,2.49,0.93,0.40,1.11,5.3429E+05,0.42,1.79,0.54,0.46,0.57,5.3383E+05
40.3,0.02,0.05,0.00,0.08,0.00,5.3409E+05,1.43,0.53,0.51,0.04,5.19,5.3116E+05
45.1,1.08,4.01,1.48,1.64,4.32,5.3303E+05,1.59,4.21,2.34,0.97,5.21,5.3426E+05
45.2,0.20,0.64,0.05,0.52,0.01,5.3454E+05,3.46,2.05,1.94,0.49,14.88,5.3696E+05
45.3,0.04,0.13,0.01,0.09,0.00,5.3438E+05,0.03,0.09,0.01,0.17,0.00,5.3283E+05
50.1,1.92,5.29,2.14,2.35,5.08,5.3408E+05,3.29,5.90,4.18,1.15,14.95,5.3393E+05
50.2,0.23,0.79,0.12,0.65,0.00,5.3376E+05,0.28,1.21,0.20,0.83,0.01,5.3281E+05
50.3,0.10,0.37,0.05,0.09,0.01,5.3146E+05,0.07,0.21,0.03,0.13,0.00,5.3603E+05
100.1,2.08,10.73,2.99,3.97,1.34,5.3438E+05,2.14,9.03,3.41,3.96,0.86,5.3525E+05
100.2,2.19,7.79,2.38,1.86,1.41,5.3294E+05,8.21,5.97,4.43,1.25,35.55,5.3857E+05
100.3,0.06,0.29,0.01,0.33,0.00,5.3568E+05,0.09,0.55,0.02,0.46,0.00,5.3462E+05
