Instância,Correlated,,,,,Anticorrelated,,,,
,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do crossover,Média da eficácia da mutação,Média da eficácia do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,2.97,0.47,19.75,7.40,1.1770E+06,0.84,0.23,13.53,6.83,1.1770E+06
30.2,0.37,0.36,22.20,7.50,1.1770E+06,1.29,0.29,19.69,7.17,1.1770E+06
30.3,0.48,0.52,35.22,9.00,1.1772E+06,0.84,0.51,37.28,8.03,1.1771E+06
35.1,0.34,0.29,17.18,6.63,1.1770E+06,0.53,0.19,15.69,7.63,1.1770E+06
35.2,0.47,0.40,24.55,8.27,1.1771E+06,1.77,0.35,25.39,7.53,1.1770E+06
35.3,0.77,0.54,41.19,8.13,1.1771E+06,0.80,0.60,43.18,8.77,1.1771E+06
40.1,0.36,0.27,19.51,9.00,1.1772E+06,3.92,0.26,16.53,8.13,1.1771E+06
40.2,0.39,0.40,27.30,8.47,1.1771E+06,2.11,0.34,26.76,7.10,1.1770E+06
40.3,1.25,0.56,44.47,8.30,1.1771E+06,0.48,0.53,44.34,8.67,1.1771E+06
45.1,3.40,0.34,22.01,7.40,1.1770E+06,2.89,0.29,17.64,6.77,1.1770E+06
45.2,3.46,0.46,31.51,8.03,1.1771E+06,5.10,0.37,28.90,7.13,1.1770E+06
45.3,0.46,0.51,46.35,8.67,1.1771E+06,0.53,0.53,49.89,8.87,1.1771E+06
50.1,9.72,0.45,28.35,6.83,1.1770E+06,9.74,0.49,21.45,6.87,1.1770E+06
50.2,0.37,0.40,32.00,9.00,1.1772E+06,0.44,0.33,31.57,8.20,1.1771E+06
50.3,0.40,0.55,51.65,7.97,1.1771E+06,0.57,0.55,53.11,8.77,1.1771E+06
100.1,24.16,0.48,43.13,6.67,1.1770E+06,2.04,0.22,29.61,5.37,1.1769E+06
100.2,0.44,0.40,52.10,9.00,1.1772E+06,3.99,0.34,49.02,6.57,1.1770E+06
100.3,0.50,0.60,83.57,8.53,1.1771E+06,2.62,0.57,80.90,7.33,1.1770E+06
200.1,1.26,0.29,50.82,9.00,1.1772E+06,3.06,0.24,41.29,3.87,1.1767E+06
200.2,20.12,0.49,71.64,7.17,1.1770E+06,6.61,0.34,69.65,6.27,1.1769E+06
200.3,0.48,0.67,117.39,7.20,1.1770E+06,0.54,0.56,115.29,8.63,1.1771E+06
300.1,58.36,0.53,63.57,5.47,1.1769E+06,39.26,0.50,47.51,3.87,1.1767E+06
300.2,29.25,0.48,82.29,5.00,1.1768E+06,12.78,0.38,80.19,6.10,1.1769E+06
300.3,11.13,0.59,134.59,8.20,1.1771E+06,2.24,0.61,134.68,5.77,1.1769E+06
400.1,2.42,0.28,63.18,8.97,1.1772E+06,5.77,0.26,49.43,2.87,1.1766E+06
400.2,3.91,0.51,93.48,5.03,1.1768E+06,14.02,0.40,89.15,5.27,1.1768E+06
400.3,11.09,0.65,144.65,7.03,1.1770E+06,8.91,0.66,146.22,5.77,1.1769E+06
500.1,3.31,0.30,68.03,9.00,1.1772E+06,94.24,0.54,54.59,4.90,1.1768E+06
500.2,1.27,0.39,100.56,9.00,1.1772E+06,23.02,0.34,88.22,6.47,1.1769E+06
500.3,0.44,0.64,155.59,8.87,1.1771E+06,5.73,0.60,154.15,8.60,1.1771E+06
600.1,3.65,0.30,67.91,9.00,1.1772E+06,53.83,0.30,53.67,5.13,1.1768E+06
600.2,49.60,0.52,99.95,4.03,1.1767E+06,7.48,0.34,93.05,6.73,1.1770E+06
600.3,0.48,0.57,158.48,8.90,1.1771E+06,7.36,0.55,152.90,8.23,1.1771E+06
700.1,163.95,0.52,79.75,5.57,1.1769E+06,75.54,0.53,56.49,2.57,1.1766E+06
700.2,1.46,0.38,103.82,9.00,1.1772E+06,9.82,0.35,95.53,7.33,1.1770E+06
700.3,1.75,0.57,160.15,8.47,1.1771E+06,8.64,0.55,162.85,8.73,1.1771E+06
800.1,33.94,0.37,74.90,7.07,1.1770E+06,69.71,0.29,56.98,4.70,1.1768E+06
800.2,14.14,0.44,108.32,8.80,1.1771E+06,34.40,0.55,71.47,1.60,1.1765E+06
800.3,2.66,0.63,164.78,8.53,1.1771E+06,21.37,0.62,161.82,5.07,1.1768E+06
900.1,8.08,0.28,74.19,8.90,1.1771E+06,104.69,0.30,58.49,6.60,1.1770E+06
900.2,2.13,0.41,107.42,8.97,1.1772E+06,43.98,0.35,96.29,5.50,1.1769E+06
900.3,0.63,0.63,172.29,8.87,1.1771E+06,10.71,0.61,169.24,7.13,1.1770E+06
1000.1,258.98,0.53,84.88,5.93,1.1769E+06,14.77,0.30,55.27,0.67,1.1765E+06
1000.2,159.59,0.52,109.03,6.57,1.1769E+06,38.61,0.38,98.17,4.77,1.1768E+06
1000.3,0.65,0.65,167.22,8.80,1.1771E+06,23.13,0.65,166.94,3.97,1.1767E+06
,,,,,,,,,,
